variant,total_return,cagr,annual_vol,sharpe,max_drawdown,avg_turnover,cycles
baseline,0.002450867037645743,0.0035514805659486726,0.019943145248576863,0.18772842858231029,-0.018421509883328135,0.07580651612903226,174.0
performance_v2,-0.033526734666424196,-0.04818880174440476,0.04767547222903985,-1.012002646654333,-0.07715222238975039,0.3641032962962963,174.0
benchmark_spy,0.11808510021167473,0.175452190670643,0.19353593431184016,0.9319540946124492,-0.20829268918934096,,
benchmark_60_40,0.0023309038232801615,0.0033775546507195386,0.12644169600065944,0.09006320510006335,-0.1897202973880866,,
