,equity
2020-07-06,0.9972044523408394
2020-07-13,1.0008973912496146
2020-07-20,0.9993599637556013
2020-07-27,1.0006821701072985
2020-08-03,0.9980303447337388
2020-08-10,0.997294983217881
2020-08-17,0.9964604246795532
2020-08-24,0.9948030763953767
2020-08-31,0.9947609387894797
2020-09-08,1.0019006441540013
2020-09-15,1.0026643661412038
2020-09-22,1.0043578987145299
2020-09-29,1.0044258087578974
2020-10-06,1.0020462736776943
2020-10-13,0.9983830700150056
2020-10-20,0.9993251850349909
2020-10-27,1.000004414945562
2020-11-03,0.9963900715977781
2020-11-10,0.9929051228859997
2020-11-17,0.9929345819299678
2020-11-24,0.9880959734894329
2020-12-02,0.9886552848777779
2020-12-09,0.9860552458886294
2020-12-16,0.988210424452753
2020-12-23,0.9860591894572053
2020-12-31,0.9869464205541754
2021-01-08,0.9863957827646261
2021-01-15,0.9891930755099558
2021-01-25,0.9914262768368183
2021-02-01,0.9874861238629724
2021-02-08,0.9871846612076658
2021-02-16,0.9851795552214045
2021-02-23,0.9861527864827216
2021-03-02,0.989265258664091
2021-03-09,0.9922396050878078
2021-03-16,0.9969926378086872
2021-03-23,1.0014306670321735
2021-03-30,0.9992830847855338
2021-04-07,0.9970375914190894
2021-04-14,0.9990392200927017
2021-04-21,1.002474521047501
2021-04-28,1.0036814429037164
2021-05-05,1.0031546978046824
2021-05-12,1.0018449480648044
2021-05-19,1.0007233130681479
2021-05-26,1.0025035255727648
2021-06-03,1.0058109802012014
2021-06-10,1.0057013335069753
2021-06-17,1.0086286873657453
2021-06-24,1.0082015684266157
2021-07-01,1.0081534641184668
2021-07-09,1.0069247895475608
2021-07-16,1.0053597516700432
2021-07-23,1.0058250524937442
2021-07-30,1.005145030804437
2021-08-06,1.010092643214005
2021-08-13,1.01041086562336
2021-08-20,1.0098484735375055
2021-08-27,1.0133643893186108
2021-09-03,1.0122634341022314
