variant,total_return,cagr,annual_vol,sharpe,max_drawdown,avg_turnover,cycles
no_alpha_pipeline,-0.00022890332237068822,-0.05605770249870756,0.0,-57683637237.405014,0.0,0.34040899999999996,1.0
core_strategies_only,-0.00022890332237068822,-0.05605770249870756,0.0,-57683637237.405014,0.0,0.34040899999999996,1.0
full,-0.00023007350766768297,-0.056336081360534696,0.0,-57978523932.246765,0.0,0.362497,1.0
no_research_council,-0.00023007350766768297,-0.056336081360534696,0.0,-57978523932.246765,0.0,0.362497,1.0
no_microstructure,-0.00023007350766768297,-0.056336081360534696,0.0,-57978523932.246765,0.0,0.362497,1.0
no_private_alpha,-0.00023007350766768297,-0.056336081360534696,0.0,-57978523932.246765,0.0,0.362497,1.0
no_event_driven,-0.00023007350766768297,-0.056336081360534696,0.0,-57978523932.246765,0.0,0.362497,1.0
