,baseline,performance_v2,benchmark_spy,benchmark_60_40
2019-07-05,0.997116589280993,1.0,1.0,1.0
2019-08-05,1.0092421287383,1.0,0.9699271609427772,0.988871758863569
2019-09-04,1.006089547233354,1.0,0.9809363580968249,0.9961973453716316
2019-10-03,1.0056871678022687,1.0,0.9889731470229904,1.0047293092960896
2019-11-01,1.0032925019081274,1.0,0.9981350330650174,1.0090770090403955
2019-12-03,1.0089972811065944,1.0,0.9914408946486806,1.013479787535282
2020-01-03,1.013997668104471,0.9928615313651427,0.9839334882365636,1.0151182791629547
2020-02-04,1.006203120900243,0.9998312286873863,0.9989298467167467,1.01893283836827
2020-03-05,1.0127227421522074,0.9956457340466832,0.9657238156747471,1.008755414844269
2020-04-03,1.0139746250815094,0.9803521416162332,0.9517649848310527,1.0009673907220802
2020-05-05,1.0113888857367188,0.9704103151858964,0.9605587336335375,1.0039534636876488
2020-06-04,1.0109457433867186,0.965036499196989,0.9580353644474049,0.9965564765256848
2020-07-06,1.0071787099076908,0.9680968642481712,0.9728245961156596,1.0041541951830768
2020-08-04,1.010560256145221,0.9735936833290542,0.9765822903676158,1.0103100918084646
2020-09-02,1.0094245719150863,0.9753764657068227,0.990707824598088,1.022925693151103
2020-10-02,1.0150728642511653,0.9757180254751989,0.9813015899609302,1.0155708687558684
2020-11-02,1.0169128115343762,0.9746075254768469,0.9923002934459764,1.0254433464795303
2020-12-02,1.0159875081697043,0.9722468994038076,0.9943876358549328,1.0234821953179472
2021-01-04,1.0171545646944564,0.9693422116895581,0.9808499360305024,1.0146287641679732
2021-02-03,1.0165611859394337,0.9700822437344707,0.9816212762478093,1.0115065045208973
2021-03-05,1.015485158234947,0.98563670498077,0.9996796927881482,1.023459368863721
2021-04-06,1.0164574677945877,0.9833627413177907,0.9990892086102255,1.0258775798483826
2021-05-05,1.0167135414555233,0.9862689155441224,0.9994015932076631,1.0267469658640647
2021-06-04,1.0171500975156447,0.9876630542743311,1.0085417707886317,1.0380056564894706
2021-07-06,1.0191479959452252,0.976395554760101,1.0067047685954635,1.04173774320484
2021-08-04,1.020147774689952,0.9689596701253408,1.0017526456349746,1.0395200265604405
2021-09-02,1.019741582859403,0.9713276646194527,1.0048346678684368,1.0432539455429934
2021-10-04,1.0205213744136679,0.9695822825984899,0.9918762469895069,1.0341196035073896
2021-11-02,1.0211181761286838,0.9721271688209657,0.9958865625550896,1.0384643123842445
2021-12-02,1.0160914821701197,0.9780704122309922,1.0111398131128868,1.0485256185069243
2022-01-03,1.0061330271276587,0.9793686923958759,1.0169944327610587,1.0411586278689335
2022-02-02,1.0095552213778736,0.983689563057117,1.0268736211481266,1.0486376150233867
2022-03-04,1.0154292327735315,1.003309217036565,1.018530949405546,1.0507675790702962
2022-04-04,1.0145318641529386,1.0075822405881285,1.0272562117114445,1.0532473816572772
2022-05-04,1.0149064994808528,1.0282770217687143,1.0585391259583001,1.0748132710167206
2022-06-03,1.013352964558753,1.0368859592151518,1.0411667757586074,1.0633051503030366
2022-07-06,1.0128803449400972,1.0294790467931068,1.0446830240208318,1.0583182398218933
2022-08-04,1.014259907838882,1.017995351855041,1.0439773565712,1.0577473537689053
