asset,mean_contribution,cum_contribution,avg_abs_weight
PDBC,0.0001202945152894405,0.009024297410916926,0.039382200000000006
SLV,0.00012000694657967622,0.008921806406243071,0.05182518666666667
GLD,0.0001090530983824863,0.008186804421306482,0.042603266666666674
XLY,7.775279504076754e-05,0.00582320626340449,0.029204853333333336
MTUM,4.8094119852712116e-05,0.0036012781441430164,0.026653560000000003
EWJ,4.692631922941757e-05,0.0035230855780643555,0.018941799999999998
TIP,2.5651975947876346e-05,0.0019254050125006028,0.018463706666666666
SPY,2.1251506548461194e-05,0.0015907820123115535,0.025959839999999998
QQQ,1.5048256473083674e-05,0.0011061612216114458,0.04049790666666668
XLF,5.9366160832729505e-06,0.00043792317256907687,0.03019664
XLRE,2.4070693858897315e-06,0.00017412612078793188,0.029299759999999998
USMV,5.376865162458683e-07,3.870956017726357e-05,0.021876946666666668
HYG,-3.9896752821005264e-07,-3.06011892234892e-05,0.027184933333333335
XLP,-3.77565663508521e-06,-0.00028887391924459216,0.02543649333333333
SHY,-5.283382304479835e-06,-0.0003963033185364617,0.058362333333333336
XLI,-6.950767236060355e-06,-0.000524760587726103,0.019346440000000006
EEM,-1.0417842226624014e-05,-0.0007854600604041417,0.02305
LQD,-1.3670566227954802e-05,-0.001025059635538117,0.01567946666666667
QUAL,-1.517372594544674e-05,-0.0011408782072728219,0.025809506666666662
XLV,-1.5552771881414498e-05,-0.0011693701257609046,0.02156068
MDY,-2.509197963096869e-05,-0.0018834699499933327,0.01204152
IEF,-2.7694740209025174e-05,-0.0020757607361119312,0.02967472
XLC,-2.8353626791351773e-05,-0.002146171692673393,0.03276413333333334
USO,-2.9462457570343764e-05,-0.0025200721565984407,0.07158028
XLE,-3.381192842501952e-05,-0.002657031509515906,0.06543650666666669
EFA,-4.039679108494693e-05,-0.003031496391049937,0.023167639999999996
IWM,-5.145424771684386e-05,-0.0038616377949980407,0.018708119999999995
XLU,-6.324467541097897e-05,-0.004751907735680461,0.03549618666666666
TLT,-6.349202570716508e-05,-0.004760795688796615,0.04790904
XLK,-8.423757104934517e-05,-0.006344357082033181,0.047892453333333335
