asset,mean_contribution,cum_contribution,avg_abs_weight
GLD,0.0003055358761795808,0.003670036344075145,0.04313141666666667
SLV,0.00029416890903207973,0.003525472118889983,0.024004083333333332
IWM,0.0001546091454100223,0.0018562710870853039,0.019658
XLI,0.00010801341393321238,0.0012962700405785288,0.009234833333333333
TIP,8.842021429131151e-05,0.0010614013716760962,0.03476866666666667
XLY,7.307594881047271e-05,0.0008764499598854503,0.027681
EWJ,4.2134685816717076e-05,0.0005055583503534855,0.009576
XLV,3.388373864517517e-05,0.0004060694186074354,0.021294000000000004
SPY,3.087473309586106e-05,0.00036988368935930716,0.02307408333333334
XLC,2.6830541139240164e-05,0.000320996990608835,0.012713999999999998
EEM,1.051775144961308e-05,0.00012459323497981956,0.029375749999999996
SHY,9.992446081375516e-06,0.00011989334285167352,0.08550541666666667
LQD,1.396224651966966e-06,1.6723808166974052e-05,0.022830250000000007
EFA,3.115752706658308e-07,3.7389032478962747e-06,0.0022377499999999997
XLP,0.0,0.0,0.0
USMV,0.0,0.0,0.0
MDY,-4.509244025082552e-06,-5.411092830098774e-05,0.0021260833333333336
HYG,-1.4306010322738563e-05,-0.00017177382981148348,0.017943833333333332
QUAL,-2.5727929320341705e-05,-0.00030960459852136246,0.020688916666666664
IEF,-3.7129579820027105e-05,-0.0004457732905051026,0.06010425
MTUM,-9.368171188295855e-05,-0.0011250392460182557,0.024493583333333332
TLT,-0.00010834936425263495,-0.0013021412271427835,0.060807749999999994
XLRE,-0.0001415922770080658,-0.0016982291786052928,0.018335
QQQ,-0.0001720081248911771,-0.0020749928887489055,0.07164783333333334
XLK,-0.00019293179742525023,-0.0023237961161381993,0.059379666666666685
PDBC,-0.0002041315225916395,-0.0024484214888932376,0.02619183333333333
XLE,-0.0002571981727267487,-0.003094553146148593,0.07179175
XLF,-0.0002597196079881153,-0.003113224092204825,0.029678083333333338
XLU,-0.00034850833436191384,-0.004175650177346557,0.023109750000000002
USO,-0.0010540257310648138,-0.01266428561507349,0.06527283333333334
