,baseline,performance_v2,benchmark_spy,benchmark_60_40
2019-07-05,0.9970647328318453,1.0,1.0,1.0
2019-08-05,1.0088085809778133,1.0,0.9699272758399413,0.9888717748297089
2019-09-04,1.0057584846508956,1.0,0.9809364755712392,0.9961973374161177
2019-10-03,1.0056706202855692,1.0,0.9889730375304915,1.0047291367226747
2019-11-01,1.0028002479162224,1.0,0.9981350336941024,1.0090767217015884
2019-12-03,1.0087000983776993,1.0,0.9914412154014707,1.0134795287171114
2020-01-03,1.0134273112545942,0.9928094295578064,0.9839334007936308,1.0151181504824123
2020-02-04,1.0057834994226307,0.9998426543836336,0.9989295542044382,1.0189327862931459
2020-03-05,1.011921745936158,0.9958395310802586,0.9657236392187825,1.0087552367207175
2020-04-03,1.013457490904913,0.9804313301176091,0.951764999536824,1.0009672450222271
2020-05-05,1.0110642640990495,0.9729718531268018,0.9605586373517983,1.0039531611268373
2020-06-04,1.0108477810305292,0.9673377978872904,0.9580353700229705,0.9965562854930623
2020-07-06,1.0074213588406253,0.9705065295745595,0.9728247060430228,1.0041542438867637
2020-08-04,1.0107547052650765,0.9755090664442414,0.9765825965361481,1.010310476811318
2020-09-02,1.0096225203473,0.9774350881605112,0.9907077686872462,1.0229257215098788
2020-10-02,1.0149557450143798,0.9769892385000549,0.9813016310877913,1.0155705962902377
2020-11-02,1.0172255187665928,0.9764851313869969,0.9923001365993178,1.025442808013418
2020-12-02,1.0164861284546236,0.9742211857423253,0.9943879244707324,1.0234820748514066
