,equity
2020-07-06,0.9960008204387852
2020-07-13,1.000345648668831
2020-07-20,0.9998975379933326
2020-07-27,1.0012903178458157
2020-08-03,0.9985517505548397
2020-08-10,0.997330055206916
2020-08-17,0.996796203966528
2020-08-24,0.9951818616454787
2020-08-31,0.9954283915944284
2020-09-08,1.0026425662338896
2020-09-15,1.003406883893034
2020-09-22,1.0051016164713649
2020-09-29,1.0051696280335283
2020-10-06,1.003322806005876
2020-10-13,0.999719665507943
2020-10-20,1.000663089697397
2020-10-27,1.0013431763572187
2020-11-03,0.9977239332940255
2020-11-10,0.9942342580037103
2020-11-17,0.9942637808074705
2020-11-24,0.9894187196271175
2020-12-02,0.9899787346063733
2020-12-09,0.9873751970066794
2020-12-16,0.9895332072843502
2020-12-23,0.9871248347757645
2020-12-31,0.9879299422184081
2021-01-08,0.9873835713966963
2021-01-15,0.9904948927817097
2021-01-25,0.9927697170987015
2021-02-01,0.988893681014349
2021-02-08,0.988147541844091
2021-02-16,0.9856393167400294
2021-02-23,0.9866619532648373
2021-03-02,0.990820616872295
2021-03-09,0.9937993722680005
2021-03-16,0.9988729541846627
2021-03-23,1.0033488543303208
2021-03-30,1.001197129122287
2021-04-07,0.9989473593632693
2021-04-14,1.0009528304333029
