,baseline,performance_v2,benchmark_spy,benchmark_60_40
2018-07-05,0.9999802814274465,1.0,1.0,1.0
2018-08-03,1.0000967062304404,1.0,1.0042849558795364,1.004560514959229
2018-09-04,0.9998174623553309,1.0,1.0025551754729527,1.001199328837732
2018-10-03,0.9985224050787938,1.0,1.0031050299130566,0.99457178965686
2018-11-01,0.9994130090190259,1.0,1.0137800941127741,1.0012911855393296
2018-12-03,1.000567763613094,1.0,1.0272039652028313,1.0120899391160671
2019-01-04,1.007318787779051,1.0,1.0616109562615024,1.0277443710447414
2019-02-05,1.0072728175489802,1.0,1.066061131926058,1.0322069878022855
2019-03-07,1.0064843231115135,1.0,1.057143069567887,1.0297035674969097
2019-04-05,1.006859780639382,1.0,1.0622594662613207,1.0332257188665919
2019-05-07,1.007196922751718,1.0,1.044519823992038,1.0260390317061325
2019-06-06,1.0078961341692958,1.0,1.0513118231321883,1.0313663000634274
2019-06-21,1.0078961341692958,0.9970476439699213,1.0497835738943062,1.0259343703310542
2019-07-08,1.0087800273814624,0.9970476439699213,1.0440149968741317,1.0231096537981423
2019-07-23,1.0087800273814624,0.9959475900949318,1.0514800083697824,1.0252655735619776
2019-08-06,1.009965857456014,0.9959475900949318,1.066224798303701,1.0371698552144988
2019-08-21,1.009965857456014,0.9933902403038269,1.0748991186900403,1.0394674330220417
2019-09-05,1.012037400607252,0.9933902403038269,1.0887172433295573,1.0399549179547598
2019-09-20,1.012037400607252,0.9971799462669549,1.0835734997137372,1.042501738040924
2019-10-04,1.0137383251888124,0.9971799462669549,1.0982365102015808,1.0540448522176038
2019-10-21,1.0137383251888124,0.9945305070285483,1.1056816094523068,1.0551606129226982
2019-11-04,1.013015382342683,0.9945305070285483,1.1101241050802704,1.052149315464781
2019-11-19,1.013015382342683,1.0002707439258718,1.1098039265129225,1.0554742452823318
2019-12-04,1.012711716323172,1.0002707439258718,1.1166517231997664,1.0551662362974248
2019-12-19,1.012711716323172,0.9998391739305539,1.1212289458386058,1.058436540347182
2020-01-06,1.0121640286990417,0.9998391739305539,1.1255064891393807,1.05845507895881
2020-01-22,1.0121640286990417,1.0035003757129177,1.1256425942823687,1.0600191532260461
2020-02-05,1.012819353208639,1.0035003757129177,1.1386412115676428,1.0627272928798792
2020-02-21,1.012819353208639,0.9998459964474593,1.1269153047737013,1.0601316740534845
2020-03-06,1.0095876910551234,0.9998459964474593,1.1082862633621242,1.0716859489580033
2020-03-23,1.0095876910551234,0.9977497958293169,1.079949270876448,1.0729104261535363
2020-04-06,1.0141811562064356,0.9977497958293169,1.1524852832570538,1.1150279264302345
2020-04-22,1.0141811562064356,0.9922046005181063,1.1780638166371153,1.1253196459763148
2020-05-06,1.0123394268047914,0.9922046005181063,1.170078425815727,1.1134799100490773
2020-05-21,1.0123394268047914,0.9938076734884201,1.1619999811712907,1.109979976486641
2020-06-05,1.0133098656215782,0.9938076734884201,1.1917817455758042,1.12388658647534
2020-06-22,1.0133098656215782,0.9923104849236719,1.1994275650035957,1.128268077004336
2020-07-07,1.0140267007752135,0.9923104849236719,1.1870568223216722,1.1276293807194981
2020-07-22,1.0140267007752135,0.992810118490415,1.19381343774339,1.132828651538345
2020-08-05,1.014901903490691,0.992810118490415,1.2012284895045098,1.1330886594188154
2020-08-20,1.014901903490691,0.9987082436048009,1.2049687867618661,1.1393024761857742
2020-09-03,1.0207068248855735,0.9987082436048009,1.163500719483333,1.1170721283584562
2020-09-21,1.0207068248855735,1.0021528308219294,1.1505511551535408,1.1118798936739345
2020-10-05,1.0167810488895623,1.0021528308219294,1.1709539057709752,1.1150201558163602
2020-10-20,1.0167810488895623,1.0026172939585407,1.1756443309514346,1.113455693071139
2020-11-03,1.015953199944083,1.0026172939585407,1.1964012272925195,1.122667310728066
2020-11-18,1.015953199944083,1.0043394977063227,1.182002646987946,1.115861459760637
2020-12-03,1.0164077808122207,1.0043394977063227,1.1816805847914227,1.1192783269744633
2020-12-18,1.0164077808122207,1.0051743016733268,1.1769622225342824,1.1152545951213861
2021-01-05,1.0151263047553412,1.0051743016733268,1.1850683237545057,1.116550243525075
2021-01-21,1.0151263047553412,1.0091816896926262,1.1861481826382716,1.1140261985820301
2021-02-04,1.0141768518904235,1.0091816896926262,1.1996297554040487,1.1204324720812198
2021-02-22,1.0141768518904235,1.002903907198315,1.190402190012238,1.1118518714820225
2021-03-08,1.0134219551173136,1.002903907198315,1.1844758089862817,1.1050727971754786
2021-03-23,1.0134219551173136,0.9953133943878953,1.1751533190528372,1.1038444523687247
2021-04-07,1.0146653528021898,0.9953133943878953,1.176513267303528,1.1015358964076531
2021-04-22,1.0146653528021898,0.9935853744287404,1.1657679573082758,1.0974222365501975
2021-05-06,1.0146870359433948,0.9935853744287404,1.1750772522256832,1.1034029837795498
2021-05-21,1.0146870359433948,0.9964357776349778,1.174115006246713,1.1042759368499184
2021-06-07,1.0127860052864726,0.9964357776349778,1.1729758271817023,1.1022754437074336
2021-06-22,1.0127860052864726,0.9978903227964696,1.1792465445339626,1.1068879961783142
2021-07-07,1.0141693545568362,0.9978903227964696,1.1834140030156264,1.113157307467603
2021-07-22,1.0141693545568362,0.9969160991903959,1.185892059640532,1.1187651317267957
2021-08-05,1.0127239529581589,0.9969160991903959,1.1934022665166457,1.1207352755858981
2021-08-20,1.0127239529581589,0.997471537912491,1.202898386320851,1.126383804289519
2021-09-03,1.0118427680453996,0.997471537912491,1.2026063074066868,1.1221221593398139
2021-09-21,1.0118427680453996,0.9950940958177094,1.2014704728666956,1.1210998519977493
2021-10-05,1.0127327000127324,0.9950940958177094,1.2139718036810012,1.1237684054625703
2021-10-20,1.0127327000127324,0.9960661754987753,1.2187399215930077,1.1233822713221482
2021-11-03,1.0107417716098959,0.9960661754987753,1.2261806462442761,1.1228540187978466
2021-11-18,1.0107417716098959,0.9981409940195018,1.2303452770257806,1.1268312034545271
2021-12-03,1.0132312590853583,0.9981409940195018,1.2196398425834838,1.1263266220582149
2021-12-20,1.0132312590853583,0.9961828733021939,1.206671121282143,1.1157652461005014
2022-01-04,1.0144453691197761,0.9961828733021939,1.20626691580012,1.113685252659882
2022-01-20,1.0144453691197761,0.9906388124559625,1.1929159073656472,1.1090367417521414
2022-02-03,1.0174186178384663,0.9906388124559625,1.1648763475482136,1.089933464488965
2022-02-18,1.0174186178384663,0.9906687947874406,1.1573335347075453,1.0902883339374565
