variant,label,total_return,cagr,annual_vol,sharpe,calmar,max_drawdown,win_rate,cycles,avg_turnover
baseline,,0.0696,0.0361,0.0351,0.9856,1.7575,-0.0205,0.5833,24.0,0.10204025
performance_v2,,0.0036,0.0019,0.1038,0.0706,0.015,-0.1262,0.625,24.0,0.42490283333333334
benchmark_spy,,0.0268,0.014,0.1683,0.1634,0.0823,-0.1705,0.5,24.0,
benchmark_60_40,,-0.0982,-0.053,0.156,-0.2557,-0.241,-0.2198,0.4583,24.0,
