,returns
2020-07-06,-0.002119316523893526
2020-07-13,0.0028086247153156366
2020-07-20,0.0031264992757458515
2020-07-27,0.0017775470792480578
2020-08-03,-0.0019535703665053443
2020-08-10,-0.0009571117860219355
2020-08-17,0.0026182381927484437
2020-08-24,-0.002827216276774481
2020-08-31,0.0018995470368675066
2020-09-08,0.004516299835186845
2020-09-15,0.00047919110429086003
2020-09-22,-0.00042896827796392917
2020-09-29,0.0013922374351027467
2020-10-06,-0.0035253024419577457
2020-10-13,-0.005182719326993157
2020-10-20,0.0032721364716131714
2020-10-27,-0.0015976527127942964
2020-11-03,0.004122072278876222
2020-11-10,0.002699430217719352
2020-11-17,-0.0017178394778363652
2020-11-24,0.004832982157954109
2020-12-02,0.0007990215449177119
2020-12-09,0.0002490773381455023
2020-12-16,-0.0004448019978095918
2020-12-23,0.000252269467638574
2020-12-31,-1.422555114579115e-06
2021-01-08,0.005436130757767449
2021-01-15,-0.0007447988857678736
2021-01-25,-0.0003181489012982408
2021-02-01,0.00293080557750225
2021-02-08,0.0014559870634466086
2021-02-16,0.0021785992375329957
2021-02-23,0.00012399828601427905
2021-03-02,-0.0030077606604142653
2021-03-09,0.0005185902625527628
2021-03-16,-0.0006078999868282792
2021-03-23,-0.0025258533268521966
2021-03-30,0.002172688939702009
2021-04-07,0.0013475531167519384
2021-04-14,0.000268312156495823
2021-04-21,-0.0002631294812526177
2021-04-28,-0.0008274914619939751
2021-05-05,-0.0008589686084039324
2021-05-12,-0.0013783401287476584
2021-05-19,0.0005428660498923794
2021-05-26,-0.0005370238581428691
2021-06-03,-0.0017340237500972652
2021-06-10,0.0010817704784065844
2021-06-17,-0.006899847141565963
2021-06-24,-0.0007661019611147927
2021-07-01,-0.0003176261255793186
2021-07-09,0.0006852049549838073
2021-07-16,0.0011053467851732494
2021-07-23,0.0023215112763152823
2021-07-30,0.0008557502616445014
2021-08-06,-0.0026743871026871117
2021-08-13,0.003303588058494707
2021-08-20,-0.0018112380696308841
2021-08-27,-0.0059466494481207315
2021-09-03,-0.0006788983642956525
2021-09-13,-0.0009676928136123177
2021-09-20,0.0006589749428916067
2021-09-27,-0.00526089454604567
2021-10-04,-0.00469099690460742
2021-10-11,-0.0006717118582609752
2021-10-18,0.002687007004884267
2021-10-25,-0.00035866875369137686
2021-11-01,-0.0038327637135687183
2021-11-08,-0.0006532643414328624
2021-11-15,0.001555670731136868
2021-11-22,0.0007682055355342996
2021-11-30,-0.004697690722160169
2021-12-07,0.0020055775287572417
2021-12-14,-0.0005484554242260258
2021-12-21,-0.0011616354460768773
2021-12-29,-0.0009893513943923487
2022-01-05,0.0015840113192366534
2022-01-12,0.002794988742069625
2022-01-20,0.0002855637168077714
2022-01-27,0.0011757520944561718
