,equity
2020-07-06,0.9960007957611373
2020-07-13,1.0003456246170972
2020-07-20,0.9998974910523972
2020-07-27,1.0012903396876303
2020-08-03,0.9985518400131594
2020-08-10,0.9973300879482575
2020-08-17,0.9967962079635079
2020-08-24,0.9951818631702657
2020-08-31,0.9954284335322219
2020-09-08,1.0026426559855104
2020-09-15,1.0034069766577267
2020-09-22,1.0051017146138908
2020-09-29,1.005169676143552
2020-10-06,1.0033228436470434
2020-10-13,0.9997196538384323
2020-10-20,1.0006630941426864
2020-10-27,1.0013432203443187
2020-11-03,0.9977240824670229
2020-11-10,0.9942344322194643
2020-11-17,0.9942639199428721
2020-11-24,0.9894187816367223
2020-12-02,0.9899788227962625
2020-12-09,0.987375328455328
2020-12-16,0.9895333554694039
2020-12-23,0.9871249488623517
2020-12-31,0.9879299233784302
2021-01-08,0.9873834407986706
2021-01-15,0.990494693236434
2021-01-25,0.992769603387493
2021-02-01,0.9888935733524451
2021-02-08,0.9881475053036931
2021-02-16,0.9856392474052559
2021-02-23,0.9866620028759806
2021-03-02,0.9908206879481238
2021-03-09,0.9937993550383135
2021-03-16,0.9988729571898624
2021-03-23,1.003348816571927
2021-03-30,1.0011971236389539
2021-04-07,0.9989473476341199
2021-04-14,1.0009529100584276
2021-04-21,1.0043947369387283
2021-04-28,1.00560393082959
2021-05-05,1.0050760297964383
2021-05-12,1.0037638026097448
2021-05-19,1.0026399986654873
2021-05-26,1.0044235647532207
2021-06-03,1.0079039396032077
2021-06-10,1.0078646755664786
2021-06-17,1.0107983563264127
2021-06-24,1.0103703032740707
2021-07-01,1.0103221531576188
2021-07-09,1.009090826807155
2021-07-16,1.0075223032854146
2021-07-23,1.007988564270839
2021-07-30,1.0073070724072284
2021-08-06,1.0122653214412047
2021-08-13,1.0125842304757429
2021-08-20,1.012020635450272
2021-08-27,1.0150024459462617
2021-09-03,1.0141206666618063
