,0
2020-07-06,0.0
2020-07-13,0.0
2020-07-20,0.0007926828304176971
2020-07-27,0.0006970231464093835
2020-08-03,0.0005996098262129063
2020-08-10,6.497415926888121e-06
2020-08-17,0.0026961053771103216
2020-08-24,0.0007397269856831202
2020-08-31,0.0011877550787821327
2020-09-08,-0.00850187911384613
2020-09-15,0.0017578907784184885
2020-09-22,0.0022725244653153272
2020-09-29,0.0013213143408986397
2020-10-06,-0.005084565532778647
2020-10-13,-0.007370785325018617
2020-10-20,0.004464635249322123
2020-10-27,-0.0011729944648685437
2020-11-03,0.003392783041930863
2020-11-10,5.234799127043751e-05
2020-11-17,-0.003962106799215853
2020-11-24,0.0017956777982592223
2020-12-02,0.0022937842852989053
2020-12-09,-0.0005688425231058101
2020-12-16,-0.00011444533157429807
2020-12-23,-0.00020283601440014343
2020-12-31,2.4838808108390827e-05
2021-01-08,0.005630260941746167
2021-01-15,-0.0006180511773989106
2021-01-25,-0.0007827315150059047
2021-02-01,0.00392955034375271
2021-02-08,0.0014739762250899758
2021-02-16,0.0021924239166030337
2021-02-23,-0.00026785867891084095
2021-03-02,-0.0035494787783811265
2021-03-09,0.0017707293817720256
2021-03-16,-0.0005395980304418866
2021-03-23,-0.0038267488557398835
2021-03-30,0.002682367085337354
2021-04-07,0.0006572636476430695
2021-04-14,0.0005175089473339232
2021-04-21,0.0008700023532709114
2021-04-28,-0.0005359057519982141
2021-05-05,-0.0009355833522029225
2021-05-12,-0.0025897598451506128
2021-05-19,0.00010706250422449755
2021-05-26,-1.210297801970499e-05
2021-06-03,-0.0023381345465057035
2021-06-10,0.0019042414517603157
2021-06-17,-0.012103464413870708
2021-06-24,-0.0007289616921383141
2021-07-01,-3.19244367251914e-05
2021-07-09,0.0010669067757906245
2021-07-16,-0.0005871017929362573
2021-07-23,0.0012981580937981288
2021-07-30,0.0006788271175215275
2021-08-06,-0.005192499616649663
2021-08-13,0.0044280373413735485
2021-08-20,-0.002350410080965833
2021-08-27,-0.005720846296603093
2021-09-03,-0.001716022539518022
2021-09-13,-0.0009046863691860199
2021-09-20,-0.0004769300980590858
2021-09-27,-0.004201058694617575
2021-10-04,-0.004532305463553457
2021-10-11,-0.00019345550381417819
2021-10-18,0.0011705462598207666
2021-10-25,-0.00017805150002339043
2021-11-01,-0.0008042252195721686
2021-11-08,-0.0006611035229445773
2021-11-15,0.0019926491082317846
2021-11-22,-0.00021172628682589065
2021-11-30,-0.004883912826340995
2021-12-07,0.002284252869703441
2021-12-14,-0.00047843663968715887
2021-12-21,-0.0006581728888595008
2021-12-29,-0.0006526653801898748
2022-01-05,0.0024177914676573927
2022-01-12,0.002804399547123191
2022-01-20,-0.0007388318211818384
2022-01-27,0.0010874205748284231
