variant,total_return,cagr,annual_vol,sharpe,max_drawdown,avg_turnover,cycles
ai_native_combo,0.08276367042959776,11.240827618839997,0.17625724248071606,14.368354093156903,-0.0023497224647420767,0.44902374999999994,8.0
alpha_only_options_iv_term_structure,0.08285620071781907,11.273821823675222,0.17840137051933475,14.212977749280665,-0.0013273920524716765,0.49141262500000005,8.0
alpha_only_short_interest,0.08477650214678856,11.9783200196861,0.18355747159821081,14.125865374255051,-0.003570819938836789,0.5042635,8.0
bayesian_optimizer_enabled,0.07990163969144426,10.26165759508493,0.17585488701366192,13.92209877619039,-0.0025599821544168844,0.4462345,8.0
full,0.08056902428487778,10.482968835472212,0.18363174756980066,13.447001334521358,-0.00503055679726816,0.49913712499999996,8.0
no_private_alpha,0.08056902428487778,10.482968835472212,0.18363174756980066,13.447001334521358,-0.00503055679726816,0.49913712499999996,8.0
no_microstructure,0.08056902428487778,10.482968835472212,0.18363174756980066,13.447001334521358,-0.00503055679726816,0.49913712499999996,8.0
no_research_council,0.08056902428487778,10.482968835472212,0.18363174756980066,13.447001334521358,-0.00503055679726816,0.49913712499999996,8.0
no_alpha_pipeline,0.08056902428487778,10.482968835472212,0.18363174756980066,13.447001334521358,-0.00503055679726816,0.49913712499999996,8.0
no_event_driven,0.08056902428487778,10.482968835472212,0.18363174756980066,13.447001334521358,-0.00503055679726816,0.49913712499999996,8.0
no_quality_profitability,0.08056902428487778,10.482968835472212,0.18363174756980066,13.447001334521358,-0.00503055679726816,0.49913712499999996,8.0
no_ai_native_v2,0.08056902428487778,10.482968835472212,0.18363174756980066,13.447001334521358,-0.00503055679726816,0.49913712499999996,8.0
core_strategies_only,0.08056902428487778,10.482968835472212,0.18363174756980066,13.447001334521358,-0.00503055679726816,0.49913712499999996,8.0
no_pead_signal,0.08056902428487778,10.482968835472212,0.18363174756980066,13.447001334521358,-0.00503055679726816,0.49913712499999996,8.0
alpha_only_pead_signal,0.08056902428487778,10.482968835472212,0.18363174756980066,13.447001334521358,-0.00503055679726816,0.49913712499999996,8.0
ai_alpha_enabled,0.08026960201734168,10.383161552160516,0.18302898830477565,13.442540170330995,-0.0050546560147338715,0.4990255,8.0
alpha_only_volume_liquidity_shock,0.07794221506313015,9.635493140881367,0.17847433866091597,13.396718885286976,-0.003422959114867452,0.47874524999999996,8.0
alpha_only_analyst_revisions,0.08149329891363721,10.796433783644439,0.19057311766663732,13.10648242270921,-0.0024852946722492275,0.49488162499999994,8.0
alpha_only_quality_profitability,0.08230662435078928,11.079111012242178,0.19621401577027434,12.857082142164822,-0.0038777798058263757,0.49867874999999995,8.0
alpha_only_earnings_momentum,0.08082263827274638,10.568169047932338,0.19279452044109083,12.855383121653848,-0.006377954860456669,0.5146848749999999,8.0
alpha_only_block_deals,0.0781680460667078,9.70590477784174,0.1963590763383123,12.227248352266152,-0.006931818056865935,0.5079413749999999,8.0
