,0
2019-06-24,-0.000787256344314294
2019-07-24,0.0012678014872668792
2019-08-22,-0.0012977420787767492
2019-09-23,0.0047858270993246
2019-10-22,-0.00028564615292766215
2019-11-20,-0.0004183224372002266
2019-12-20,0.0032843862917891695
2020-01-23,0.0008843197304813787
2020-02-24,-0.021562222924254894
2020-03-24,0.05237169039749072
2020-04-23,0.0012154975292703743
2020-05-22,0.003002140083089838
2020-06-23,0.0028371714069949324
2020-07-23,-0.0092499102255898
2020-08-21,-0.0008247919576990395
2020-09-22,0.006738738888455193
2020-10-21,-0.0017000204880631398
2020-11-19,0.003378636303174122
2020-12-21,-0.001930783721238795
2021-01-22,-0.0006994291070119019
2021-02-23,0.0006030746306124137
2021-03-24,-0.0038873648526900513
2021-04-23,0.011090471004568364
2021-05-24,0.009603596316148998
2021-06-23,8.70351666899849e-05
2021-07-23,0.008861854585725188
2021-08-23,0.00601229578278096
2021-09-22,0.008467710087800768
2021-10-21,-0.0015947031626161276
2021-11-19,-0.005092235293927597
2021-12-21,0.014263373274675988
2022-01-21,-0.010181230936364652
2022-02-22,-0.004831476509488364
2022-03-23,0.0066241183821888015
2022-04-22,-0.020876459677319895
2022-05-23,0.012974614522929551
2022-06-23,-0.008609202454330497
2022-07-25,0.01496213390800897
2022-08-23,0.006780326171677706
2022-09-22,-0.007479544823979427
2022-10-21,0.02179169904152317
2022-11-21,-0.0023534614231940547
2022-12-21,0.012153391421753004
2023-01-24,0.0009548939297904357
2023-02-23,0.0026050656787657478
2023-03-24,0.00028690684707134505
2023-04-25,-0.010847208149770285
2023-05-24,-0.00808808805484272
2023-06-26,-0.006523745354711847
2023-07-26,-5.186459960904188e-05
2023-08-24,-0.016604515320961986
2023-09-25,0.0026234159309996407
2023-10-24,0.002130331810343695
2023-11-22,0.0034455713247429046
2023-12-22,0.0006061435849342067
2024-01-25,0.005959168072367916
2024-02-26,-0.002690307964644549
2024-03-26,-0.0020868763031072616
2024-04-25,-0.002865061589510257
2024-05-24,0.006016702881127307
2024-06-26,-0.0022127823200739486
2024-07-26,0.010038723847119124
2024-08-26,0.00034895853702155376
2024-09-25,-0.0031686666100780325
2024-10-24,0.0004893025596890413
2024-11-22,0.0055153756539128235
2024-12-24,0.010379469284028426
2025-01-28,0.0015364307029650996
2025-02-27,-0.008266370090668653
2025-03-28,-0.007246022287965
2025-04-29,-0.00015178261828166674
2025-05-29,0.003189619429650235
2025-06-30,0.005261214134061523
2025-07-30,-0.005905618171184289
2025-08-28,0.0043097261519267314
2025-09-29,0.0059465365736787665
2025-10-28,0.0002683028437825591
2025-11-26,0.008853669731138105
2025-12-29,-0.022262552431365015
2026-01-29,0.0010614763156660439
