,equity
2019-06-24,0.9992127436556857
2019-07-24,1.0004795470581884
2019-08-22,0.9991811826510155
2019-09-23,1.003963091032082
2019-10-22,1.0036763128374473
2019-11-20,1.003256452516101
2019-12-20,1.0065515342558937
2020-01-23,1.0074416476373824
2020-02-24,0.9857189662478465
2020-03-24,1.0373427347671134
2020-04-23,1.0386036222982293
2020-05-22,1.041721655863173
2020-06-23,1.0446771987592356
2020-07-23,1.0350140284559919
2020-08-21,1.0341603572092157
2020-09-22,1.04112929382524
2020-10-21,1.0393593526950144
2020-11-19,1.0428709699360732
2020-12-21,1.0408574116439682
2021-01-22,1.0401294056740154
2021-02-23,1.0407566813311313
2021-03-24,1.0367108803879224
2021-04-23,1.048208492346985
2021-05-24,1.0582750635626446
2021-06-23,1.0583671707092055
2021-07-23,1.0677462666743358
2021-08-23,1.0741658730505421
2021-09-22,1.0832615982497436
2021-10-21,1.0815341175530742
2021-11-19,1.0760266913480836
2021-12-21,1.0913744617002958
2022-01-21,1.0802629262676744
2022-02-22,1.075043661315341
2022-03-23,1.0821648777939155
2022-04-22,1.059573106358439
2022-05-23,1.0733206589723028
2022-06-23,1.0640802241207947
2022-07-25,1.0800011349229544
2022-08-23,1.087323894883514
2022-09-22,1.079191207073549
2022-10-21,1.102708617066354
2022-11-21,1.1001134348750647
2022-12-21,1.1134835440574307
2023-01-24,1.1145468027345729
2023-02-23,1.1174502703577547
2023-03-24,1.1177708744915822
2023-04-25,1.1056461811522214
2023-05-24,1.0967036174815616
2023-06-26,1.0895490023515206
2023-07-26,1.0894924933287593
2023-08-24,1.0714019985312089
2023-09-25,1.0742127316026606
2023-10-24,1.07650116115587
2023-11-22,1.080210322687801
2023-12-22,1.0808650852452781
2024-01-25,1.0873061419518089
2024-02-26,1.084380953578109
2024-03-26,1.0821179846625462
2024-04-25,1.0790176499893713
2024-05-24,1.0855097785928496
2024-06-26,1.083107781746512
2024-07-26,1.093980801664131
2024-08-26,1.0943625556042094
2024-09-25,1.0908948855149465
2024-10-24,1.0914286631747807
2024-11-22,1.0974483022516375
2024-12-24,1.1088392331956676
2025-01-28,1.1105428878382015
2025-02-27,1.101362729325771
2025-03-28,1.0933822304419425
2025-04-29,1.0932162740242235
2025-05-29,1.0967032178926608
2025-06-30,1.1024732083635085
2025-07-30,1.095962422550953
2025-08-28,1.1006857204649498
2025-09-29,1.1072309883578206
2025-10-28,1.1075280615807213
2025-11-26,1.1173337492559245
2025-12-29,1.092459048079781
2026-01-29,1.0936186674851527
