,returns
2019-06-24,-0.000160073844314294
2019-07-24,0.0015081562872668792
2019-08-22,-0.000947742778776749
2019-09-23,0.0051363212993246
2019-10-22,-9.332465292766218e-05
2019-11-20,-6.832243720022657e-05
2019-12-20,0.0036343841917891697
2020-01-23,0.0012191248304813786
2020-02-24,-0.021270199024254893
2020-03-24,0.05272376519749072
2020-04-23,0.0015395863292703743
2020-05-22,0.0031226828830898377
2020-06-23,0.0030424016069949323
2020-07-23,-0.0090849797255898
2020-08-21,-0.0006942510576990395
2020-09-22,0.006865142788455193
2020-10-21,-0.0015641189880631397
2020-11-19,0.003731300503174122
2020-12-21,-0.001662769121238795
2021-01-22,-0.0005538347070119019
2021-02-23,0.0009111978306124138
2021-03-24,-0.0035441092938231513
2021-04-23,0.011306510662106506
2021-05-24,0.009747988116148998
2021-06-23,0.0003882248666899849
2021-07-23,0.009048422085725188
2021-08-23,0.00637325918278096
2021-09-22,0.008723677687800769
2021-10-21,-0.0012371130626161277
2021-11-19,-0.004741854493927597
2021-12-21,0.014628914674675988
2022-01-21,-0.009830863436364651
2022-02-22,-0.004500225309488364
2022-03-23,0.006798038548255064
2022-04-22,-0.02059234555726141
2022-05-23,0.01320444132292955
2022-06-23,-0.008415686054330497
2022-07-25,0.01526706790800897
2022-08-23,0.007130326171677705
2022-09-22,-0.007149185423979427
2022-10-21,0.02214149534152317
2022-11-21,-0.002018350423194055
2022-12-21,0.012405435521753003
2023-01-24,0.0012909464297904357
2023-02-23,0.0029211548787657477
2023-03-24,0.0006396893470713451
2023-04-25,-0.010578874349770286
2023-05-24,-0.007774212954842721
2023-06-26,-0.006161644915451637
2023-07-26,0.00013155627740822786
2023-08-24,-0.016506440065282825
2023-09-25,0.002981756430999641
2023-10-24,0.002395923710343695
2023-11-22,0.0037947404247429045
2023-12-22,0.0007302045849342067
2024-01-25,0.006144208872367917
2024-02-26,-0.002530120664644549
2024-03-26,-0.0020007049031072616
2024-04-25,-0.002515062989510257
2024-05-24,0.006212160381127307
2024-06-26,-0.0018627830200739488
2024-07-26,0.010390595647119125
2024-08-26,0.0006978175370215538
2024-09-25,-0.0028414292100780326
2024-10-24,0.0007464923596890413
2024-11-22,0.005865374953912823
2024-12-24,0.010720490384028426
2025-01-28,0.0017627680029650996
2025-02-27,-0.007999868190668653
2025-03-28,-0.006893822887965
2025-04-29,0.00025035920900878713
2025-05-29,0.0035616448287201057
2025-06-30,0.005382796434061523
2025-07-30,-0.005560812171184288
2025-08-28,0.004609759451926732
2025-09-29,0.006174157673678767
2025-10-28,0.0004657329437825591
2025-11-26,0.009204556631138104
2025-12-29,-0.022092459431365015
2026-01-29,0.001264219415666044
