Date,nanoback_etf_core,nanoback_defensive_core,benchmark_spy,benchmark_equal_weight,benchmark_60_40
2018-06-19,1000000.0,1000000.0,1.0,1.0,1.0
2018-06-20,1000000.0,1000000.0,1.0017060766227632,1.001868030133881,0.9975186582930881
2018-06-21,1000000.0,1000000.0,0.9954267312999514,0.9978510014606988,0.9958634341665327
2018-06-22,1000000.0,1000000.0,0.9972416254493246,1.0024624488296878,0.9969197094618981
2018-06-25,1000000.0,1000000.0,0.9836662022371235,0.9932026427938278,0.9896703072199474
2018-06-26,1000000.0,1000000.0,0.9858440502582232,0.9959136838848929,0.9915419601072468
2018-06-27,1000000.0,1000000.0,0.9776771201790996,0.9911667838593091,0.9903511900000557
2018-06-28,1000000.0,1000000.0,0.983267246236467,0.9950974928744587,0.9938461251488125
2018-06-29,1000000.0,1000000.0,0.9846825604314763,0.9972853412826385,0.9933372254128887
2018-07-02,1000000.0,1000000.0,0.9867878426363789,0.9964924613821341,0.9943008773984378
2018-07-03,1000000.0,1000000.0,0.9833031235746555,0.9962851074336984,0.994324599831662
2018-07-05,1000000.0,1000000.0,0.9913251092074974,1.0021112171972124,1.0003326542271698
2018-07-06,1000000.0,1000000.0,0.9997097991305827,1.0085548165663851,1.0067173100095168
2018-07-09,1000000.0,1000000.0,1.0087115168751397,1.0132858348001144,1.0095646434319785
2018-07-10,1000000.0,1000000.0,1.0123411179877742,1.0148723725116418,1.0117109284974697
2018-07-11,1000000.0,1000000.0,1.0049365969439994,1.007398071728054,1.0088309330744347
2018-07-12,1000000.0,1000000.0,1.0140473817966495,1.0136435981265897,1.0142855761460337
2018-07-13,1000000.0,1000000.0,1.0148460425424115,1.014122524088369,1.015792191167208
2018-07-16,1000000.0,1000000.0,1.0139386890607809,1.0107472155187895,1.0135587571267148
2018-07-17,1000000.0,1000000.0,1.0180400615717515,1.011950371112485,1.0152555639986
2018-07-18,1000000.0,1000000.0,1.020181657882438,1.0126169774891438,1.0149056717434037
2018-07-19,49203.01438614986,1000000.0,1.0163341721351007,1.0112053679873536,1.0151822390400864
2018-07-20,49203.01438614986,1000000.0,1.0151726199129831,1.010583040537802,1.0095038967805285
2018-07-23,49203.01438614986,1000000.0,1.0170601422739243,1.0088880161011622,1.0056478903463937
2018-07-24,49203.01438614986,1000000.0,1.022177810583877,1.0119586092440929,1.0100667579471663
2018-07-25,49203.01438614986,1000000.0,1.0308897642266124,1.0190705452021984,1.0145906262325288
2018-07-26,49203.01438614986,1000000.0,1.0284574054881719,1.0165294416233799,1.0123730580202657
2018-07-27,49203.01438614986,1000000.0,1.0214884665276913,1.0118984569060376,1.0089361281452391
2018-07-30,49203.01438614986,1000000.0,1.0161527887922939,1.008221574367419,1.0043890568234057
2018-07-31,49203.01438614986,1000000.0,1.0211618267617488,1.0128261970237538,1.0095531281339607
2018-08-01,49203.01438614986,1000000.0,1.019455687743615,1.0092349207403268,1.0052513838652735
2018-08-02,49203.01438614986,1000000.0,1.0250093125090864,1.0121925744206577,1.0091140944077976
2018-08-03,49203.01438614986,1000000.0,1.0294015722385526,1.0157417692180206,1.0137161492472404
2018-08-06,49203.01438614986,1000000.0,1.0331764297743224,1.017490055992862,1.0161846462769795
2018-08-07,49203.01438614986,1000000.0,1.0365883334383659,1.0195271243636008,1.0160853985931968
2018-08-08,49203.01438614986,1000000.0,1.0361525641689595,1.0176035204974534,1.0162402079231208
2018-08-09,49203.01438614986,1000000.0,1.0347371251832087,1.0174464415303754,1.0188292016371983
2018-08-10,49203.01438614986,1000000.0,1.027804500328512,1.013157917198861,1.0176934344769646
2018-08-13,49203.01438614986,1000000.0,1.023956889790433,1.0086083397751777,1.0145640448020175
