variant,policy,lookback,target_gross_fraction,selection_count,effective_max_position,starting_cash,ending_cash,ending_equity,pnl,turnover,total_fees,total_borrow_cost,total_cash_yield,peak_equity,max_drawdown_raw,halted_by_risk,submitted_orders,filled_orders,rejected_orders,symbols,rows,total_return,cagr,annual_vol,sharpe,max_drawdown,win_rate
benchmark_equal_weight,,,,,,,,,,,,,,,,,,,,,,1.2397233053920669,0.10878846780147722,0.13953085121836004,0.8121544511949812,-0.28535691334404967,0.5527254202750892
benchmark_spy,,,,,,,,,,,,,,,,,,,,,,1.7784092050642624,0.13981955320873718,0.19446927776361805,0.7722469394935889,-0.33717256672236917,0.5522159959246052
benchmark_60_40,,,,,,,,,,,,,,,,,,,,,,0.8869358001410288,0.0847150592735475,0.12458528579710264,0.7167194753330689,-0.27235287617358583,0.5501782985226694
nanoback_defensive_core,inverse_volatility,63.0,0.95,100.0,216328.0,1000000.0,49291.91005170463,49291.91005170463,-950708.0899482954,950232.9734615646,475.1164867307824,0.0,0.0,1000000.0,0.9507080899482954,False,28.0,28.0,52402.0,28.0,1963.0,-0.9507080899482954,-0.31987872193145706,0.3405466887286676,-0.3583857795333441,-0.9507080899482954,0.0
nanoback_etf_core,equal_weight,21.0,0.95,100.0,216328.0,1000000.0,49203.01438614986,49203.01438614986,-950796.9856138502,950321.8247014994,475.16091235074975,0.0,0.0,1000000.0,0.9507969856138502,False,28.0,28.0,53515.0,28.0,1963.0,-0.9507969856138502,-0.32003592959605287,0.3405785314413436,-0.3583857795333443,-0.9507969856138502,0.0
