,baseline,performance_v2,benchmark_spy,benchmark_60_40
2020-01-06,1.0028929367846064,1.001373734850518,1.0,1.0
2020-02-05,1.0092336035158884,1.0072769310045226,1.0115480364269585,1.0025550352046186
2020-03-06,0.9922177583662338,1.0016617424263816,0.9948257994960519,1.0134814909867282
2020-04-06,1.019679605123612,1.0326575161913412,1.061644539412275,1.0532657800715002
2020-05-06,1.0228772626073956,1.0256808750261022,1.0544481633355896,1.0421839748824604
2020-06-05,1.0306359539378616,1.030374853455331,1.0814730684656744,1.055240751374361
2020-07-07,1.027727601988816,1.0272024938019297,1.0703192295500807,1.054643641104015
2020-08-05,1.0286462232575049,1.0339759967832571,1.0769666950523729,1.0548854759744688
2020-09-03,1.0146371630150999,1.0021062471605169,1.039903628178851,1.0343025156678862
2020-10-05,1.0206933654390522,1.0164312119451908,1.0583446744996536,1.0372239235379297
2020-11-03,1.025382563652176,1.0303346208899016,1.0770303474357608,1.0458046118379598
2020-12-03,1.023658681137694,1.0326915430199965,1.076736983645945,1.0490070157000904
