,returns
2020-07-06,-0.0037191664545897845
2020-07-13,0.004362320994623392
2020-07-20,-0.00025699374423210916
2020-07-27,0.0013930208646918722
2020-08-03,-0.0024549776235380186
2020-08-10,-0.0012235659901608247
2020-08-17,-0.0004815470352274605
2020-08-24,-0.0016196381925135488
2020-08-31,0.0004093654673266873
2020-09-08,0.0072472250334102385
2020-09-15,0.0010422946247184751
2020-09-22,0.0016890506277922894
2020-09-29,0.00034765809812299653
2020-10-06,-0.0018374306229881113
2020-10-13,-0.0033174700616059663
2020-10-20,0.0009436948700832963
2020-10-27,0.000959640541415379
2020-11-03,-0.003614392479128871
2020-11-10,-0.003217651039594244
2020-11-17,2.970956388989918e-05
2020-11-24,-0.004592970305637843
2020-12-02,0.0005660535958671195
2020-12-09,-0.0024828170776404475
2020-12-16,0.002185600901775302
2020-12-23,-0.0022066621534784373
2020-12-31,0.0008153934894422586
2021-01-08,-0.0004965086962391428
2021-01-15,0.003151098450397753
2021-01-25,0.0022967702882908843
2021-02-01,-0.003904212779871338
2021-02-08,-0.0004744530621994559
2021-02-16,-0.0025383643370123707
2021-02-23,0.0013030189094072554
2021-03-02,0.004214876208505565
2021-03-09,0.003286236033156101
2021-03-16,0.005105197606710176
2021-03-23,0.004687499473915899
2021-03-30,-0.0021445292440438663
2021-04-07,-0.001967072884725297
2021-04-14,0.002007654475498704
2021-04-21,0.003619234729457253
2021-04-28,0.0012039620442248961
2021-05-05,-0.00024482970874637605
2021-05-12,-0.0013055748179964593
2021-05-19,-0.0008395646502401178
2021-05-26,0.001778893444614495
2021-06-03,0.0037067206035311137
2021-06-10,-3.902909036144209e-05
2021-06-17,0.0031907990809061796
2021-06-24,-0.00042346633453659423
2021-07-01,0.00023236516723651343
2021-07-09,-0.0012187263176900234
2021-07-16,-0.001274193683122273
2021-07-23,0.00046279102797762157
2021-07-30,-0.0003960986067615918
2021-08-06,0.00492230124272453
2021-08-13,0.0005950291437041453
2021-08-20,-0.0005565959030637719
2021-08-27,0.003215196767665426
2021-09-03,-0.0008688215399962978
