,0
2020-07-06,-0.003999166454589784
2020-07-13,0.004362320994623392
2020-07-20,-0.00044797054423210915
2020-07-27,0.0013930208646918722
2020-08-03,-0.0027349769235380187
2020-08-10,-0.0012235659901608247
2020-08-17,-0.0005352265352274605
2020-08-24,-0.0016196381925135488
2020-08-31,0.0002477487673266873
2020-09-08,0.0072472250334102385
2020-09-15,0.000762294624718475
2020-09-22,0.0016890506277922894
2020-09-29,6.765669812299651e-05
2020-10-06,-0.0018374306229881113
2020-10-13,-0.0035913149616059663
2020-10-20,0.0009436948700832963
2020-10-27,0.0006796412414153789
2020-11-03,-0.003614392479128871
2020-11-10,-0.003497650339594244
2020-11-17,2.970956388989918e-05
2020-11-24,-0.004872969605637843
2020-12-02,0.0005660535958671195
2020-12-09,-0.0026298058776404475
2020-12-16,0.002185600901775302
2020-12-23,-0.0024338219534784373
2020-12-31,0.0008153934894422586
2021-01-08,-0.0005531337962391428
2021-01-15,0.003151098450397753
2021-01-25,0.0022967702882908843
2021-02-01,-0.003904212779871338
2021-02-08,-0.0007544530621994559
2021-02-16,-0.0025383643370123707
2021-02-23,0.0010375390094072554
2021-03-02,0.004214876208505565
2021-03-09,0.0030062353331561007
2021-03-16,0.005105197606710176
2021-03-23,0.004480939273915899
2021-03-30,-0.0021445292440438663
2021-04-07,-0.002247072884725297
2021-04-14,0.002007654475498704
2021-04-21,0.003438704729457253
2021-04-28,0.0012039620442248961
2021-05-05,-0.0005248297087463761
2021-05-12,-0.0013055748179964593
2021-05-19,-0.0011195632502401178
2021-05-26,0.001778893444614495
2021-06-03,0.0034650141035311136
2021-06-10,-3.902909036144209e-05
2021-06-17,0.0029107997809061795
2021-06-24,-0.00042346633453659423
2021-07-01,-4.7635532763486566e-05
2021-07-09,-0.0012187263176900234
2021-07-16,-0.0015541943831222731
2021-07-23,0.00046279102797762157
2021-07-30,-0.0006760993067615918
2021-08-06,0.00492230124272453
2021-08-13,0.0003150298437041453
2021-08-20,-0.0005565959030637719
2021-08-27,0.002946428967665426
2021-09-03,-0.0008688215399962978
