,equity
2020-07-06,0.9960008335454102
2020-07-13,1.0003457088922476
2020-07-20,0.999897583480615
2020-07-27,1.0012904616769585
2020-08-03,0.9985519553705133
2020-08-10,0.9973301611585134
2020-08-17,0.9967963635918787
2020-08-24,0.9951819141312467
2020-08-31,0.9954284692237385
2020-09-08,1.002642563344866
2020-09-15,1.0034068723814178
2020-09-22,1.0051016773891446
2020-09-29,1.0051696792499147
2020-10-06,1.0033227496999617
2020-10-13,0.9997195016976447
2020-10-20,1.000662931862919
2020-10-27,1.0013430236601686
2020-11-03,0.9977237769664231
2020-11-10,0.9942340880590952
2020-11-17,0.9942636263202559
2020-11-24,0.9894186098892059
2020-12-02,0.9899786738511516
2020-12-09,0.9873752221159191
2020-12-16,0.9895332302917663
2020-12-23,0.9871248825921858
2020-12-31,0.9879297777947178
2021-01-08,0.9873833204463085
2021-01-15,0.9904946624973154
2021-01-25,0.9927696012088498
2021-02-01,0.9888936174443425
2021-02-08,0.9881475436264721
2021-02-16,0.9856392651420243
2021-02-23,0.9866619043288126
2021-03-02,0.9908205621152069
2021-03-09,0.9937992018978552
2021-03-16,0.9988727432049347
2021-03-23,1.0033486313096056
2021-03-30,1.0011969208277909
2021-04-07,0.9989471583747284
2021-04-14,1.0009526991080262
2021-04-21,1.004394679888412
2021-04-28,1.005603932960419
2021-05-05,1.0050761621411692
2021-05-12,1.0037639600137092
2021-05-19,1.0026401827721623
2021-05-26,1.004423772820603
2021-06-03,1.0079041153593482
2021-06-10,1.007864777778554
2021-06-17,1.010798470352895
2021-06-24,1.0103704312296995
2021-07-01,1.0103223016959195
2021-07-09,1.0090909953174936
2021-07-16,1.007522671760512
2021-07-23,1.0079889442134866
2021-07-30,1.0073074435870806
2021-08-06,1.012265714268455
2021-08-13,1.0125846081782082
2021-08-20,1.0120210077337908
2021-08-27,1.0150028557468636
2021-09-03,1.0141209994026328
