,baseline,performance_v2,benchmark_spy,benchmark_60_40
2018-07-05,0.9999145494044528,1.0,1.0,1.0
2018-08-03,1.0004190650624327,1.0,1.0042852000089846,1.00456056512726
2018-09-04,1.0006759429671872,1.0,1.002555063561884,1.001199165044808
2018-10-03,0.9992991275816441,1.0,1.0031051527991273,0.9945720203614318
2018-11-01,0.9988760794020433,1.0,1.0137805991861268,1.0012915454537943
2018-12-03,1.000474007915021,1.0,1.027204160648475,1.0120903443549663
2019-01-04,1.0089288829598742,1.0,1.0616113675713672,1.0277446327822073
2019-02-05,1.0091173477103643,1.0,1.0660614776188173,1.0322069566361278
2019-03-07,1.0083168256837411,1.0,1.057143412914375,1.0297035684171842
2019-04-05,1.0090118545150284,1.0,1.0622598106676404,1.033225781263833
2019-05-07,1.008399564903095,1.0,1.0445202872540098,1.0260393832254118
2019-06-06,1.0094034894244408,1.0,1.0513126015948604,1.0313665166222035
2019-06-21,1.0094034894244408,0.996595889850218,1.0497844712764484,1.0259345707254546
2019-07-08,1.0104616591534092,0.996595889850218,1.0440160069324462,1.023109979527238
2019-07-23,1.0104616591534092,0.9953651333684832,1.0514809061369135,1.0252659727953035
2019-08-06,1.0121686143512219,0.9953651333684832,1.0662259595228185,1.0371705418824069
2019-08-21,1.0121686143512219,0.9942342820946194,1.0749001657815553,1.0394679181551916
2019-09-05,1.014752165902909,0.9942342820946194,1.0887185449547556,1.0399554678515224
2019-09-20,1.014752165902909,0.9968342554560855,1.083574916765071,1.0425029058867634
2019-10-04,1.0170978661850112,0.9968342554560855,1.0982381995402932,1.0540462855752164
2019-10-21,1.0170978661850112,0.9948221617736802,1.1056835577779023,1.0551620246405122
2019-11-04,1.016142764626262,0.9948221617736802,1.1101256971633089,1.052150568195057
2019-11-19,1.016142764626262,0.9999922239783217,1.1098056372410308,1.05547537322352
2019-12-04,1.0157670770770293,0.9999922239783217,1.1166529638016138,1.0551671426015914
2019-12-19,1.0157670770770293,1.0004156263775308,1.1212300745926942,1.0584375241397919
2020-01-06,1.0150091630746436,1.0004156263775308,1.1255077384575622,1.0584565434912288
2020-01-22,1.0150091630746436,1.0050848873692593,1.1256433911986965,1.0600205588392178
2020-02-05,1.015544378735244,1.0050848873692593,1.138642360768447,1.0627288965206305
2020-02-21,1.015544378735244,1.0003247958540211,1.126916440980907,1.0601330341654758
2020-03-06,1.013332029449913,1.0003247958540211,1.1082873828378712,1.0716874223276358
2020-03-23,1.013332029449913,1.0017530048463468,1.0799506022892367,1.0729122892429979
2020-04-06,1.0191772845705585,1.0017530048463468,1.152486780965825,1.1150297701134093
2020-04-22,1.0191772845705585,1.0122840310366172,1.1780659096800843,1.1253218802463025
2020-05-06,1.0169050858226814,1.0122840310366172,1.170080233023061,1.113481621926701
2020-05-21,1.0169050858226814,1.0045308814765983,1.1620020341311972,1.1099817316609393
2020-06-05,1.0181326057662183,1.0045308814765983,1.191783604031305,1.1238879166417084
2020-06-22,1.0181326057662183,1.0036345108473648,1.199428925428816,1.1282693744886112
2020-07-07,1.0187336472726738,1.0036345108473648,1.187058788370804,1.127631483080233
2020-07-22,1.0187336472726738,1.0131016563669966,1.1938154142978172,1.1328305192132033
2020-08-05,1.0194038935294703,1.0131016563669966,1.2012303591091082,1.1330906019608982
2020-08-20,1.0194038935294703,1.0209594089926268,1.2049704269892927,1.139304294910208
2020-09-03,1.0244458360705606,1.0209594089926268,1.1635020964657112,1.1170741424523427
2020-09-21,1.0244458360705606,1.017145782034826,1.150552631053971,1.1118819151671024
2020-10-05,1.0206186971402516,1.017145782034826,1.1709555189890457,1.1150219045194731
2020-10-20,1.0206186971402516,1.0182028734058344,1.1756461758969563,1.1134574184645405
2020-11-03,1.0199151744463912,1.0182028734058344,1.19640322996179,1.122668920366948
2020-11-18,1.0199151744463912,1.0143398860059878,1.182004731857075,1.115862813796341
2020-12-03,1.0202727124847364,1.0143398860059878,1.1816821401378095,1.119279385542899
2020-12-18,1.0202727124847364,1.0142917364330608,1.176964188570154,1.1152562964184676
2021-01-05,1.018947353338895,1.0142917364330608,1.1850701982772915,1.1165515824798453
2021-01-21,1.018947353338895,1.0136623218503598,1.1861502608042418,1.11402775359221
2021-02-04,1.0182725496091345,1.0136623218503598,1.199631856035887,1.1204339819405063
2021-02-22,1.0182725496091345,1.0129025616749416,1.190404672832347,1.111853369242603
2021-03-08,1.017550598452985,1.0129025616749416,1.1844781785061964,1.1050742296830767
2021-03-23,1.017550598452985,0.9978025045839036,1.1751552774418823,1.1038456646317447
2021-04-07,1.0190129777061772,0.9978025045839036,1.1765154168671315,1.1015370702129728
2021-04-22,1.0190129777061772,0.9946395362486755,1.1657702706820907,1.0974239896329199
2021-05-06,1.018978811481629,0.9946395362486755,1.1750796747141952,1.1034050229034869
2021-05-21,1.018978811481629,0.9978503381565997,1.174117703365518,1.1042781617226802
2021-06-07,1.0169465073034942,0.9978503381565997,1.172978521859321,1.1022779462334673
2021-06-22,1.0169465073034942,0.9999287092999791,1.1792494361158037,1.1068906944788663
2021-07-07,1.0183604817173657,0.9999287092999791,1.1834170823816907,1.1131606083362289
2021-07-22,1.0183604817173657,0.9999987717364709,1.1858952337212423,1.11876852584336
2021-08-05,1.016975594902551,0.9999987717364709,1.1934053729562355,1.1207383092070766
2021-08-20,1.016975594902551,1.0014660833293718,1.2029011649931174,1.1263867606782674
2021-09-03,1.0160415877009583,1.0014660833293718,1.2026089992151634,1.1221248149760765
2021-09-21,1.0160415877009583,0.999142769881575,1.2014728034847304,1.1211021458885213
2021-10-05,1.0171668786826822,0.999142769881575,1.213973977051839,1.123770602669097
2021-10-20,1.0171668786826822,0.9998003156174939,1.2187423654922962,1.1233848629563918
2021-11-03,1.0152245260817614,0.9998003156174939,1.2261832769565242,1.1228568934078464
2021-11-18,1.0152245260817614,1.004602564188575,1.2303479169610647,1.1268343070365634
2021-12-03,1.0176432562789641,1.004602564188575,1.2196423732195132,1.126329623825701
2021-12-20,1.0176432562789641,1.0009059895082966,1.2066731999165972,1.1157681956492222
2022-01-04,1.0188093312043722,1.0009059895082966,1.2062689937655806,1.1136881150678477
2022-01-20,1.0188093312043722,0.9950784915374813,1.1929180475259884,1.1090396952963761
2022-02-03,1.0216647625502835,0.9950784915374813,1.1648782730584695,1.0899357816055482
2022-02-18,1.0216647625502835,0.994722095263938,1.1573353628757936,1.0902906598990838
2022-03-07,1.0204935008817702,0.994722095263938,1.1232180808423504,1.0676786694959088
2022-03-22,1.0204935008817702,0.9899251535461646,1.1363613962922714,1.069703148325356
2022-04-05,1.0215764388808592,0.9899251535461646,1.122007608914967,1.0519291141253773
2022-04-21,1.0215764388808592,0.9849088192420808,1.1052295143075095,1.0393778722744114
2022-05-05,1.0249085903810577,0.9849088192420808,1.0659465262806793,1.0058213881920781
2022-05-20,1.0249085903810577,0.9894017532922685,1.0664119309234823,1.0106514700440852
2022-06-06,1.0230714224188335,0.9894017532922685,1.0696590589938886,1.005041901545378
2022-06-22,1.0230714224188335,0.9714437393573412,1.0677196825088684,1.015004303332793
2022-07-07,1.0199625640090892,0.9714437393573412,1.0837110962827874,1.0205524667646928
2022-07-22,1.0199625640090892,0.9681824427472205,1.0736563542179172,1.0217337283867505
2022-08-05,1.018420795024349,0.9681824427472205,1.071841700515515,1.0109692955830205
2022-08-22,1.018420795024349,0.964752195104195,1.0495233722227229,0.996979318739546
2022-09-06,1.0191516414544894,0.964752195104195,1.0455631569390884,0.984844510393394
2022-09-21,1.0191516414544894,0.9537948218612694,1.0273246120921775,0.9811364220352268
2022-10-05,1.019763767960237,0.9537948218612694,1.0249327837229,0.9760133164964379
2022-10-20,1.019763767960237,0.9490725127712796,1.016338297442893,0.9644295010110926
2022-11-03,1.019020303363949,0.9490725127712796,1.005873021909155,0.9563889837867331
2022-11-18,1.019020303363949,0.9513807692298347,1.0104400669788938,0.956363445383124
2022-12-05,1.0211027087327256,0.9513807692298347,0.9922629314534075,0.9406827005234627
2022-12-20,1.0211027087327256,0.9549322022260948,0.9936206648016788,0.9347734521795824
2023-01-05,1.0211070467476993,0.9549322022260948,0.9822800490947099,0.9299353035588048
2023-01-23,1.0211070467476993,0.9523161179042209,0.9940660182338377,0.9348788171976066
2023-02-06,1.021358826623808,0.9523161179042209,0.9879910333057524,0.9286821519561449
2023-02-22,1.021358826623808,0.9498279096621823,0.9866294722492187,0.931318498855595
2023-03-08,1.0216274558352612,0.9498279096621823,0.9882397737241567,0.9325967329861089
2023-03-23,1.0216274558352612,0.9532690312599521,0.9909114570216409,0.9341094851628914
2023-04-06,1.02218008205666,0.9532690312599521,0.994776798481274,0.9372622260779939
2023-04-24,1.02218008205666,0.9522697940875701,0.995814673661015,0.9414759199687417
2023-05-08,1.0228458670840883,0.9522697940875701,0.9960799050369232,0.9363484952040569
2023-05-23,1.0228458670840883,0.9434919760539474,0.9849011735302788,0.9311218328696607
2023-06-07,1.0192344831918407,0.9434919760539474,0.9814955377170225,0.9236615155799469
2023-06-23,1.0192344831918407,0.9389123578498767,0.9740754063428447,0.9231551781607796
2023-07-10,1.018439758825033,0.9389123578498767,0.9765408284205535,0.925041607859884
2023-07-25,1.018439758825033,0.9417811571078483,0.9792067123299392,0.9258631044423773
2023-08-08,1.0182074713157647,0.9417811571078483,0.9749483980280754,0.9277483092113926
2023-08-23,1.0182074713157647,0.9469284095342978,0.9858072807002892,0.9431429949482424
2023-09-07,1.0182869157701584,0.9469284095342978,0.9827807520652366,0.9424518397189391
2023-09-22,1.0182869157701584,0.9455995730724434,0.98057098963802,0.9442145612376407
2023-10-06,1.0180851381061946,0.9455995730724434,0.9922131253990685,0.9463644215014821
2023-10-23,1.0180851381061946,0.9419867467203895,0.990493311179784,0.9499278569717101
2023-11-06,1.018319108072817,0.9419867467203895,0.9927716908474116,0.9475531625139294
2023-11-21,1.018319108072817,0.9390922912485381,0.9906080667210603,0.9461468206442191
2023-12-06,1.017117254834259,0.9390922912485381,0.9866161273045083,0.9488993393455374
2023-12-21,1.017117254834259,0.9431817549286772,0.995971132241118,0.9518960561334221
2024-01-08,1.0162480194737864,0.9431817549286772,1.0101895892850503,0.9638062454476997
2024-01-24,1.0162480194737864,0.9442887277472007,1.011293887580317,0.9621802265835026
2024-02-07,1.0174762413047078,0.9442887277472007,1.0197284878108432,0.9651325450714817
2024-02-23,1.0174762413047078,0.9456198669993049,1.0204317413833435,0.9706999028548309
2024-03-08,1.0176005127766046,0.9456198669993049,1.0143067318745849,0.9665156727671637
