,0
2020-07-06,-0.003999166454589784
2020-07-13,0.004362333175024924
2020-07-20,-0.0004479177944598361
2020-07-27,0.0013929875204168525
2020-08-03,-0.0031550149425551744
2020-08-10,-0.000611069095216975
2020-08-17,-0.0011435810375431562
2020-08-24,-0.001369538157827494
2020-08-31,-7.384881690263175e-05
2020-09-08,0.008161659448068407
2020-09-15,-0.0013057895818681265
2020-09-22,-0.000582356327963988
2020-09-29,-0.0007665864294387316
2020-10-06,0.004427759627618332
2020-10-13,-0.0006789856930444606
2020-10-20,-0.0007615094457133919
2020-10-27,-0.0021310836547305165
2020-11-03,0.004104207962231421
2020-11-10,0.003810841578135191
2020-11-17,0.0021822330582210365
2020-11-24,0.0029106340387457913
2020-12-02,-0.0006577668509549909
2020-12-09,0.003833374996769395
2020-12-16,-0.0020902779285078893
2020-12-23,-0.0003510935798842402
2020-12-31,-0.0002819351322457842
2021-01-08,-0.001822847858702713
2021-01-15,0.0018206648185018456
2021-01-25,0.0005314583698636393
2021-02-01,-0.0034083178187482295
2021-02-08,0.0029544624757068616
2021-02-16,-0.001192358974451704
2021-02-23,-0.0025495692311354903
2021-03-02,-0.003046957196325878
2021-03-09,0.0008288998258486757
2021-03-16,-0.0030335834060014424
2021-03-23,-0.004901488747500039
2021-03-30,0.00556735481093522
2021-04-07,-0.005325892478723515
2021-04-14,0.005565428256029691
2021-04-21,0.00416502133451046
2021-04-28,0.0013752641731063873
2021-05-05,-0.0002577090553579988
2021-05-12,-0.001723655029774438
2021-05-19,-0.002226243707996733
2021-05-26,0.002748250262163942
2021-06-03,0.0011463728976262772
2021-06-10,-0.004448987987824916
2021-06-17,-0.001359875179245478
2021-06-24,-0.00013104464797402651
2021-07-01,0.0014475060713880505
2021-07-09,0.001571462432653725
2021-07-16,-0.0008245404754068244
2021-07-23,-0.0023084215496110344
2021-07-30,-0.00010603500528636727
2021-08-06,0.0029130081807356854
2021-08-13,-0.0008405554423627317
2021-08-20,0.0035697389507573403
2021-08-27,0.0038214285880748614
2021-09-03,-0.0031288008918541645
