asset,mean_contribution,cum_contribution,avg_abs_weight
SLV,0.0005012417138099412,0.006010462034911512,0.034535666666666666
GLD,0.0004940870149828873,0.005938779641413872,0.06387766666666665
IWM,0.00016192508202068432,0.0019437313217660623,0.022021750000000003
XLI,0.00014395769548995692,0.0017277061080949174,0.013094166666666665
TIP,0.00011994136850314455,0.0014399542278651367,0.05167208333333332
XLY,9.283314471099417e-05,0.0011131052141284403,0.038286999999999995
EWJ,5.2009790803709025e-05,0.000623971352808228,0.015439750000000002
XLV,1.9003258268051664e-05,0.00022714926663969237,0.023934499999999994
SHY,1.5255235441509078e-05,0.0001830285432971035,0.14170916666666666
MDY,1.4848351827153168e-05,0.00017816056122677004,0.0041101666666666665
SPY,1.0601391717433801e-05,0.00012584093759926418,0.025298083333333332
PDBC,9.47070559853371e-06,0.0001136484671824256,0.0019536666666666665
USMV,9.005089720277871e-06,0.00010786285691422037,0.014314666666666665
XLC,5.363269344736253e-06,6.232778089798607e-05,0.019215416666666665
EFA,4.095300930752738e-07,4.914361116936661e-06,0.0029439166666666663
USO,0.0,0.0,0.0
XLRE,0.0,0.0,0.0
XLE,0.0,0.0,0.0
EEM,-3.861267261829109e-06,-4.927303856872012e-05,0.03944991666666667
LQD,-1.55732896101508e-05,-0.00018691878210352897,0.02711725
XLP,-1.6598142025626993e-05,-0.00019917770430755155,0.0020006666666666667
IEF,-1.9854350425192424e-05,-0.00023854009639490137,0.06523591666666667
HYG,-2.4178252039122033e-05,-0.0002903851316155004,0.03135058333333334
QUAL,-2.7352192694390157e-05,-0.00033022660515658053,0.03663866666666666
XLF,-7.639377316110225e-05,-0.0009175146021622727,0.02079891666666667
TLT,-8.041459411602075e-05,-0.0009685669626999793,0.05687183333333334
QQQ,-0.00017165508661045662,-0.0020878351430482223,0.11748225000000001
MTUM,-0.00017568348643979016,-0.002109184971170519,0.03288058333333333
XLU,-0.00024125625298738627,-0.0028927233890209125,0.020425166666666668
XLK,-0.00034668296781489947,-0.004176834053039591,0.08708100000000002
