variant,label,total_return,cagr,annual_vol,sharpe,calmar,max_drawdown,win_rate,cycles,avg_turnover
baseline,,0.2023,0.0184,0.0447,0.4285,0.2367,-0.0777,0.3547,203.0,0.07770460162601626
performance_v2,,1.0941,0.0758,0.135,0.6109,0.2937,-0.2582,0.2463,203.0,0.3927718641975308
benchmark_spy,,1.5136,0.0954,0.167,0.6345,0.2913,-0.3275,0.2709,203.0,
benchmark_60_40,,0.6933,0.0535,0.111,0.5228,0.2043,-0.2616,0.2463,203.0,
