,equity
2020-07-06,0.9960008588372956
2020-07-13,1.0003457233853938
2020-07-20,0.999897608696068
2020-07-27,1.0012905192132078
2020-08-03,0.9985520387861216
2020-08-10,0.9973303296625998
2020-08-17,0.9967964647067318
2020-08-24,0.9951820298696311
2020-08-31,0.9954286111270682
2020-09-08,1.0026427885841909
2020-09-15,1.0034070762881862
2020-09-22,1.0051018633229938
2020-09-29,1.0051698236698128
2020-10-06,1.003322961880976
2020-10-13,0.9997197654689716
2020-10-20,1.0006631418493528
2020-10-27,1.0013432811538838
2020-11-03,0.9977240987052907
2020-11-10,0.9942344841340439
2020-11-17,0.9942639826195563
2020-11-24,0.989418895958286
2020-12-02,0.9899789561864426
2020-12-09,0.98737543610832
2020-12-16,0.9895335001554568
2020-12-23,0.9871251798432087
2020-12-31,0.9879301796824019
2021-01-08,0.9873837138663255
2021-01-15,0.9904951478468141
2021-01-25,0.9927701114374036
2021-02-01,0.9888941116677461
2021-02-08,0.9881479810084376
2021-02-16,0.9856396679041062
2021-02-23,0.9866622579482083
2021-03-02,0.9908209699674011
2021-03-09,0.9937997061443411
2021-03-16,0.9988733243040894
2021-03-23,1.0033492394281853
2021-03-30,1.0011975427758737
2021-04-07,0.9989477474225518
2021-04-14,1.0009532108793864
2021-04-21,1.0043950932918948
2021-04-28,1.005604327406995
2021-05-05,1.0050765731531188
2021-05-12,1.0037643141534596
2021-05-19,1.0026405302931685
2021-05-26,1.0044241533849412
2021-06-03,1.0079044754527262
2021-06-10,1.0078651538531223
2021-06-17,1.0107988060706883
2021-06-24,1.0103707681622585
2021-07-01,1.0103225603551114
2021-07-09,1.009091242224983
2021-07-16,1.0075228370845521
2021-07-23,1.0079891390279254
2021-07-30,1.00730765423549
2021-08-06,1.012265911698455
2021-08-13,1.012584818780387
2021-08-20,1.0120212166778038
2021-08-27,1.0150031315139958
2021-09-03,1.0141213705314485
