,returns
2020-07-06,-0.002935705979802688
2020-07-13,0.004362273746051315
2020-07-20,-0.00025697974015842506
2020-07-27,0.001392922574125091
2020-08-03,-0.002455038222348627
2020-08-10,-0.001223467233666011
2020-08-17,-0.0008653480109353862
2020-08-24,-0.0016195309679404271
2020-08-31,0.0005816748175474901
2020-09-08,0.007247306486713514
2020-09-15,0.0010423025223889602
2020-09-22,0.0016889784249394081
2020-09-29,0.0003476670543752019
2020-10-06,-0.0018373237473014322
2020-10-13,-0.00331736271171247
2020-10-20,0.000943688737957046
2020-10-27,0.0009596360001920619
2020-11-03,-0.003614388302279786
2020-11-10,-0.002878723460354703
2020-11-17,0.0004527088554539782
2020-11-24,-0.004593013155959024
2020-12-02,0.0005094950094028111
2020-12-09,-0.0024829043498909263
2020-12-16,0.0021856030860539595
2020-12-23,-0.0018382922272985802
2020-12-31,0.0008156085373199589
2021-01-08,-0.001433272046231854
2021-01-15,0.0032283942040372436
2021-01-25,0.0026505110001513823
2021-02-01,-0.0039042650250049557
2021-02-08,-0.00047451910006402837
2021-02-16,-0.002538310320927192
2021-02-23,0.0013030161543270639
2021-03-02,0.004214881899212557
2021-03-09,0.0032863525511639706
2021-03-16,0.0051052375944689275
2021-03-23,0.00468751058203495
2021-03-30,-0.002144543444433491
2021-04-07,-0.0018560608697768264
2021-04-14,0.002007584334886219
