,equity
2020-07-06,0.9967857199934104
2020-07-13,1.001064197169777
2020-07-20,1.0006157646162812
2020-07-27,1.0020095449028408
2020-08-03,0.9992690104983734
2020-08-10,0.9980464376064107
2020-08-17,0.9970815718259884
2020-08-24,0.9953969716328257
2020-08-31,0.9958418358396717
2020-09-08,1.0029892979077846
2020-09-15,1.0037538798816013
2020-09-22,1.0054491985286704
2020-09-29,1.0055172336104443
2020-10-06,1.003669772918811
2020-10-13,1.0000653863906592
2020-10-20,1.0010091368330167
2020-10-27,1.0016894586789298
2020-11-03,0.9980689640169637
2020-11-10,0.9948464760364385
2020-11-17,0.9952071603461884
2020-11-24,0.9903330698216721
2020-12-02,0.9907683162635054
2020-12-09,0.9881066016191605
2020-12-16,0.9902662104570096
2020-12-23,0.9881565409393953
2020-12-31,0.9888933188925282
2021-01-08,0.9873978517312192
2021-01-15,0.9905238570686187
2021-01-25,0.9930434191052583
2021-02-01,0.9890968013763969
2021-02-08,0.9883505089479461
2021-02-16,0.9858417686503899
2021-02-23,0.9868646152263946
2021-03-02,0.9910241330300856
2021-03-09,0.9940035002669688
2021-03-16,0.9990781243055654
2021-03-23,1.003554943808355
2021-03-30,1.001402776632482
2021-04-07,0.9992555322420031
2021-04-14,1.0011916741078235
