variant,total_return,cagr,annual_vol,sharpe,max_drawdown,avg_turnover,cycles
baseline,0.007547546923467152,0.0236688519153736,0.032798304806750306,0.729693046049076,-0.014057128290115517,0.07592581481481482,81.0
performance_v2,-0.012955612098699332,-0.03975778851660605,0.09379616837410484,-0.38572029803497027,-0.05817343626677807,0.29611136000000005,81.0
benchmark_spy,0.10155139403976521,0.35108131950253063,0.2556762006593264,1.301318549848913,-0.05231392883643515,,
benchmark_60_40,0.10507095781238007,0.36455682456415994,0.16186011442400136,2.0008175571423497,-0.04447390033714549,,
