variant,total_return,cagr,annual_vol,sharpe,max_drawdown,avg_turnover,cycles
baseline,-0.016658220503864674,-0.02403534183373468,0.022801294040339332,-1.0555239734809982,-0.020975317429985485,0.08242629032258066,174.0
performance_v2,-0.03174116628955914,-0.04564098325432764,0.05076481969838567,-0.8947392604280104,-0.08259541850324603,0.44124460493827156,174.0
benchmark_spy,0.1180843807908658,0.17545109529183378,0.19353561270086708,0.9319505042667651,-0.20829257341270146,,
benchmark_60_40,0.0023288475376599393,0.003374573473511333,0.12644145481429928,0.09003964041881447,-0.1897201618796598,,
