Date,nanoback_etf_core,nanoback_defensive_core,benchmark_spy,benchmark_equal_weight,benchmark_60_40
2020-01-02,1000000.0,1000000.0,1.0,1.0,1.0
2020-01-03,1000000.0,1000000.0,0.9924277630323404,1.0016032849669556,1.0016168975623396
2020-01-06,1000000.0,1000000.0,0.9962138815161702,1.0048886920834286,1.001634394774798
2020-01-07,1000000.0,1000000.0,0.9934127109679431,1.0034300071085527,0.99797501035962
2020-01-08,1000000.0,1000000.0,0.9987069860068934,1.0037969956819304,0.9985273920686494
2020-01-09,1000000.0,1000000.0,1.0054790941151572,1.0066724095124806,1.0039919318952983
2020-01-10,1000000.0,1000000.0,1.0025855140288267,1.0078272456930428,1.0058287835710114
2020-01-13,1000000.0,1000000.0,1.0094808691183872,1.010739956968332,1.008758805538629
2020-01-14,1000000.0,1000000.0,1.0079415667456413,1.0112384870796738,1.0099117900448944
2020-01-15,1000000.0,1000000.0,1.010219323091396,1.0152707371916048,1.0139599593195894
2020-01-16,1000000.0,1000000.0,1.018622834736077,1.0205678265557712,1.0177428003797697
2020-01-17,1000000.0,1000000.0,1.0217929238963765,1.0202910673929277,1.0161631702017195
2020-01-21,1000000.0,1000000.0,1.019792396164932,1.020477080278297,1.0192396818932974
2020-01-22,1000000.0,1000000.0,1.0199155403547517,1.021693699344026,1.0207457770711015
2020-01-23,1000000.0,1000000.0,1.021085204575084,1.024341344846448,1.0243072617746027
2020-01-24,1000000.0,1000000.0,1.0120047082608266,1.0211297256517322,1.0221558308079415
2020-01-27,1000000.0,1000000.0,0.9957828768518011,1.0158867710959971,1.0186846401746827
2020-01-28,1000000.0,1000000.0,1.0062178564625976,1.0194216709460449,1.0218985356268313
2020-01-29,1000000.0,1000000.0,1.005386890160008,1.0215208379417553,1.0253896599509842
2020-01-30,1000000.0,1000000.0,1.0086494916498883,1.0229534816776698,1.0274428774772923
2020-01-31,1000000.0,1000000.0,0.9903345173883602,1.0148037284383424,1.020001178493586
2020-02-03,534383.6215048174,1000000.0,0.997691303419574,1.0201583944950798,1.0242169815159745
2020-02-04,534383.6215048174,1000000.0,1.0128974522412804,1.0256157810724535,1.0280659794471378
2020-02-05,534383.6215048174,1000000.0,1.0245945056105126,1.0298320485773127,1.0306927126655583
2020-02-06,534383.6215048174,1000000.0,1.028041720593645,1.0338732653068212,1.0346314511142707
2020-02-07,534383.6215048174,1000000.0,1.0225628320614424,1.0324698534073309,1.0364870040715277
2020-02-10,534383.6215048174,1000000.0,1.0301966411240118,1.0387746397714444,1.0422780401164005
2020-02-11,534383.6215048174,1000000.0,1.0319816151275332,1.038849052375923,1.041260188609906
2020-02-12,534383.6215048174,1000000.0,1.038630887420409,1.0424213869258179,1.0431755115453192
2020-02-13,534383.6215048174,1000000.0,1.0375226925035095,1.044464415519539,1.0441084290127591
2020-02-14,534383.6215048174,1000000.0,1.0391848306916431,1.0463789075315393,1.0469403009418918
2020-02-18,534383.6215048174,1000000.0,1.0365068043332357,1.0495871229258535,1.0481895451228165
2020-02-19,534383.6215048174,1000000.0,1.0414624842459206,1.0548900462123594,1.0511677115063354
2020-02-20,534383.6215048174,1000000.0,1.0371838917942893,1.0550927918026072,1.051870229847898
2020-02-21,534383.6215048174,1000000.0,1.0265028293868081,1.051870297209624,1.0493010861584142
2020-02-24,534383.6215048174,1000000.0,0.9924581893096242,1.0354786287493327,1.034686435648315
2020-02-25,534383.6215048174,1000000.0,0.962384897958386,1.0136126047786644,1.0180782623373972
2020-02-26,534383.6215048174,1000000.0,0.9588450678541955,1.011376685178956,1.0136747497316143
2020-02-27,534383.6215048174,1000000.0,0.9157817091406185,0.9872751875543501,0.9907581602398755
2020-02-28,534383.6215048174,1000000.0,0.9119339157704016,0.9802361154714246,0.9972101639500032
2020-03-02,534383.6215048174,1000000.0,0.9514266069365945,1.004780918228144,1.0201869558136791
2020-03-03,534383.6215048174,1000000.0,0.924185015202345,0.9979216108397972,1.0089963114109768
2020-03-04,534383.6215048174,1000000.0,0.9630313535592006,1.0185480061580876,1.0301572691224128
2020-03-05,534383.6215048174,1000000.0,0.9310184898225639,1.008578539026206,1.0198677685993076
2020-03-06,534383.6215048174,1000000.0,0.9156274191331734,1.0084172445727275,1.030983030703601
2020-03-09,534383.6215048174,1000000.0,0.844122121209037,0.9648465053722298,0.9938518041988104
2020-03-10,534383.6215048174,1000000.0,0.887801252267451,0.9774005545969027,1.004330812651455
2020-03-11,534383.6215048174,1000000.0,0.844522185638735,0.9390349810963139,0.9601721448271716
2020-03-12,534383.6215048174,1000000.0,0.7637207862766795,0.8767652819676377,0.9074322051525935
2020-03-13,534383.6215048174,1000000.0,0.8290085875083886,0.9090399519762058,0.945771883053228
2020-03-16,534383.6215048174,1000000.0,0.7382952115720997,0.8529409121368182,0.9081791274894522
2020-03-17,534383.6215048174,1000000.0,0.7781573353077516,0.8738459266247408,0.9133757720116442
2020-03-18,534383.6215048174,1000000.0,0.738757053679662,0.8327933994049707,0.8650173718963777
2020-03-19,534383.6215048174,1000000.0,0.7403267823296923,0.8420306383174467,0.8755404998248921
2020-03-20,534383.6215048174,1000000.0,0.7084228775590062,0.8393598171145282,0.8792365977007163
2020-03-23,534383.6215048174,1000000.0,0.6903100427376121,0.8470399810401958,0.880241439269226
2020-03-24,534383.6215048174,1000000.0,0.7528542880441276,0.8960748071606506,0.921539023970129
2020-03-25,534383.6215048174,1000000.0,0.7641246025952995,0.8967976438842907,0.9289792312984895
2020-03-26,534383.6215048174,1000000.0,0.8087419114671393,0.9310541037971899,0.9633541248853409
2020-03-27,534383.6215048174,1000000.0,0.784652831550569,0.916095579565677,0.9564230958840357
2020-03-30,534383.6215048174,1000000.0,0.8101349415676704,0.9320454973551264,0.9719113191369638
2020-03-31,534383.6215048174,1000000.0,0.7980595127704531,0.9192857880197084,0.960063824914197
2020-04-01,534383.6215048174,1000000.0,0.7621430398914191,0.8949846906132358,0.9395196037513213
2020-04-02,534383.6215048174,604315.6612392324,0.7797297879319308,0.9085131260608936,0.9549123302417085
2020-04-03,534383.6215048174,604315.6612392324,0.768459319193543,0.8994901497904598,0.9475395381512931
2020-04-06,534383.6215048174,604315.6612392324,0.8200737467174823,0.9427238269598385,0.9847354498750517
2020-04-07,534383.6215048174,604315.6612392324,0.8209099553854149,0.9403406861069071,0.9812129400733969
2020-04-08,534383.6215048174,604315.6612392324,0.8484667571848413,0.9561806725867894,0.9981200491473889
2020-04-09,534383.6215048174,604315.6612392324,0.8613780348798207,0.9738617174806743,1.0079586637512277
2020-04-13,534383.6215048174,604315.6612392324,0.8535132533677313,0.9704737617070095,0.9987555898369672
2020-04-14,534383.6215048174,604315.6612392324,0.8786860124338626,0.9900538910564627,1.0163320296234215
2020-04-15,534383.6215048174,604315.6612392324,0.8600154824523126,0.9797325208448607,1.0141436220143643
2020-04-16,534383.6215048174,604315.6612392324,0.8641646604340081,0.9848274135179191,1.0216863588307026
2020-04-17,534383.6215048174,604315.6612392324,0.8875104551781359,0.9942444014652587,1.0327689839012402
2020-04-20,534383.6215048174,604315.6612392324,0.8718743296068338,0.9890566541552618,1.0251751462093368
2020-04-21,534383.6215048174,604315.6612392324,0.8454014125399227,0.9721689091237095,1.0116619944973004
2020-04-22,534383.6215048174,604315.6612392324,0.8641646604340081,0.9864537602359265,1.0209998974111696
2020-04-23,534383.6215048174,604315.6612392324,0.8641024715902345,0.9909669607065484,1.0231236227246572
2020-04-24,534383.6215048174,604315.6612392324,0.8761470629442583,0.9998802005242389,1.0326409946679318
2020-04-27,534383.6215048174,604315.6612392324,0.8887799299229382,1.0072450268731281,1.0338859202873747
2020-04-28,534383.6215048174,604315.6612392324,0.8846926324105845,1.0068739801648494,1.035793532192495
2020-04-29,534383.6215048174,604315.6612392324,0.9078526829552098,1.0292602030499425,1.0499130773613252
2020-04-30,534383.6215048174,604315.6612392324,0.8994001397758509,1.0132998429357645,1.0391441403790929
2020-05-01,534383.6215048174,604315.6612392324,0.8755901387201824,0.9971684912022254,1.026197974529674
2020-05-04,534383.6215048174,604315.6612392324,0.878004916105194,1.0006648241564544,1.0259651438735269
2020-05-05,534383.6215048174,604315.6612392324,0.8861171167031731,1.005895170798983,1.0290257177095832
2020-05-06,534383.6215048174,604315.6612392324,0.8801101883520193,0.9984602000439436,1.0181987284143166
2020-05-07,534383.6215048174,604315.6612392324,0.8907307065793637,1.0125749245837845,1.0323750482110452
2020-05-08,534383.6215048174,604315.6612392324,0.9054686402219144,1.022669479093056,1.037255286615683
2020-05-11,534383.6215048174,604315.6612392324,0.905654384421417,1.0206482503425436,1.0341442430955259
2020-05-12,534383.6215048174,604315.6612392324,0.8876033786736259,1.007863498547329,1.026022721111684
2020-05-13,534383.6215048174,604315.6612392324,0.8719052698415047,0.9983786132234866,1.018006730814637
2020-05-14,534383.6215048174,604315.6612392324,0.8823396327034374,1.0074072063023454,1.029301736742034
2020-05-15,534383.6215048174,604315.6612392324,0.886395578815211,1.0134674810175377,1.0310813340034577
2020-05-18,534383.6215048174,604315.6612392324,0.9133949938289138,1.0297507603762281,1.0408706101786094
2020-05-19,534383.6215048174,604315.6612392324,0.9040135240690871,1.0258103556446747,1.0360136455917617
2020-05-20,534383.6215048174,604315.6612392324,0.919370776362442,1.040708849386502,1.0478142072532377
2020-05-21,534383.6215048174,604315.6612392324,0.9130236082213857,1.0348639607423935,1.0445209111644642
2020-05-22,534383.6215048174,604315.6612392324,0.9147573920692058,1.0394431458342133,1.0482244296663248
2020-05-26,534383.6215048174,604315.6612392324,0.926027655224639,1.0416956381255487,1.050350603929087
2020-05-27,534383.6215048174,604315.6612392324,0.9398061332179602,1.0523956931772906,1.0589560810343046
2020-05-28,534383.6215048174,604315.6612392324,0.9380724521616175,1.0466771271876194,1.0562247340193713
2020-05-29,534383.6215048174,604315.6612392324,0.9422522620035519,1.052513927074081,1.0620660039689258
2020-06-01,534383.6215048174,604315.6612392324,0.9460603778635266,1.0555635731282678,1.0617810981932834
2020-06-02,534383.6215048174,604315.6612392324,0.9538938079750359,1.0583391352575704,1.0655118895278057
2020-06-03,534383.6215048174,604315.6612392324,0.9665883498401029,1.0604932752890135,1.068352635631846
2020-06-04,534383.6215048174,604315.6612392324,0.9640498115164078,1.0573026002696178,1.0604815278902033
2020-06-05,534383.6215048174,604315.6612392324,0.9887579017093504,1.0692965192334225,1.0737676609556057
2020-06-08,534383.6215048174,604315.6612392324,1.0007095695678843,1.0808214231957276,1.083206133632733
2020-06-09,534383.6215048174,604315.6612392324,0.9932476278553803,1.081319199862981,1.083281242501822
2020-06-10,534383.6215048174,604315.6612392324,0.9877052141901992,1.0831403872520045,1.0860794693084987
2020-06-11,534383.6215048174,604315.6612392324,0.9307651088309907,1.0459262430053093,1.0567233494637343
2020-06-12,534383.6215048174,604315.6612392324,0.9419114054647856,1.0533928074152619,1.0602411525495472
2020-06-15,534383.6215048174,604315.6612392324,0.9507051135573427,1.0625352401994432,1.0664155715192047
2020-06-16,534383.6215048174,604315.6612392324,0.9690036411825008,1.072020984275973,1.07218980598456
2020-06-17,534383.6215048174,604315.6612392324,0.9649786353053982,1.0692290265337987,1.0712881926385667
2020-06-18,534383.6215048174,604315.6612392324,0.9653501237044034,1.071658495633055,1.0760726445621036
2020-06-19,534383.6215048174,604315.6612392324,0.9598335107000274,1.0718311198134194,1.0727280691111347
2020-06-22,534383.6215048174,604315.6612392324,0.9659909257739657,1.0793324967497744,1.076909756408308
2020-06-23,534383.6215048174,604315.6612392324,0.9704379934569113,1.0834151598086443,1.076940193135806
2020-06-24,534383.6215048174,604315.6612392324,0.9456830303503144,1.0679590297165567,1.0650774811713122
2020-06-25,534383.6215048174,604315.6612392324,0.955821456549066,1.0759956990327681,1.073156751915877
2020-06-26,534383.6215048174,604315.6612392324,0.9331194448273428,1.0632745671165078,1.0624580767463574
2020-06-29,534383.6215048174,604315.6612392324,0.9468337809388213,1.075120328144267,1.0704898219554109
2020-06-30,534383.6215048174,604315.6612392324,0.9589625585127636,1.0851080377745288,1.0766379612624406
2020-07-01,534383.6215048174,604315.6612392324,0.9656799815550973,1.085705980633046,1.0803265163543183
2020-07-02,534383.6215048174,604315.6612392324,0.9709977958423519,1.089958529762765,1.0843457649911752
2020-07-06,534383.6215048174,604315.6612392324,0.9859874658128395,1.1006724283770168,1.0926128968872166
2020-07-07,534383.6215048174,604315.6612392324,0.9758180993794169,1.0974704715424748,1.0919945617058362
2020-07-08,534383.6215048174,604315.6612392324,0.9832817885470351,1.1041627217238408,1.09526089733396
2020-07-09,534383.6215048174,604315.6612392324,0.9776842786500146,1.103219419242313,1.0984953893917198
2020-07-10,534383.6215048174,604315.6612392324,0.9876666673862067,1.1088517393717994,1.1030172484624277
2020-07-13,534383.6215048174,604315.6612392324,0.9791144164738552,1.1005687816612344,1.098745512558594
2020-07-14,534383.6215048174,604315.6612392324,0.9918028936417609,1.109966633691257,1.1079207186118445
2020-07-15,534383.6215048174,604315.6612392324,1.0009150497310304,1.1197567433449496,1.1119598820454686
2020-07-16,534383.6215048174,604315.6612392324,0.9976183214706826,1.1151130832906408,1.1118748941972794
2020-07-17,534383.6215048174,604315.6612392324,1.0005103596848535,1.1180439358372243,1.112877135449322
2020-07-20,534383.6215048174,604315.6612392324,1.0085961428731633,1.1268615974213907,1.1193679374998595
2020-07-21,534383.6215048174,604315.6612392324,1.010742017753527,1.131039555413663,1.1210646942869102
2020-07-22,534383.6215048174,604315.6612392324,1.0164951539471976,1.1373612187219098,1.1262335127206295
2020-07-23,534383.6215048174,604315.6612392324,1.0043666847476873,1.1336007184414605,1.123433407940529
2020-07-24,534383.6215048174,604315.6612392324,0.9978980170804483,1.128585579171893,1.1190654615417561
2020-07-27,534383.6215048174,604315.6612392324,1.0051753452997,1.1402287483967464,1.1223006804452185
2020-07-28,534383.6215048174,604315.6612392324,0.9987999095023831,1.1370893106738746,1.1211355575325799
2020-07-29,534383.6215048174,604315.6612392324,1.0110839022070663,1.1488393298236852,1.128645003545804
2020-07-30,534383.6215048174,604315.6612392324,1.0074767436852365,1.1481282873363539,1.129203492513507
2020-07-31,534383.6215048174,604315.6612392324,1.0154379436030443,1.1538187218352722,1.134266853062581
2020-08-03,534383.6215048174,604315.6612392324,1.022497456681872,1.1613978284656046,1.136713923251836
2020-08-04,534383.6215048174,604315.6612392324,1.0264468080316733,1.1719112991007075,1.143682367616596
2020-08-05,534383.6215048174,604315.6612392324,1.0328220382460358,1.1787375878527087,1.1439448599257194
2020-08-06,534383.6215048174,604315.6612392324,1.0397260278196907,1.187790105797894,1.1510887424966785
2020-08-07,534383.6215048174,604315.6612392324,1.0404723967364526,1.1836320992090597,1.1485156228694278
2020-08-10,534383.6215048174,604315.6612392324,1.0435825584654792,1.1839059292321752,1.1485203205770627
2020-08-11,534383.6215048174,604315.6612392324,1.0349679131263994,1.1605727938438761,1.1373715067714276
2020-08-12,534383.6215048174,604315.6612392324,1.0493976779199687,1.167399184398658,1.1427479664327724
2020-08-13,534383.6215048174,604315.6612392324,1.0475006612061772,1.1700391316653547,1.1366225275983184
2020-08-14,534383.6215048174,604315.6612392324,1.0475320126067575,1.1676996622142486,1.1348664755244176
2020-08-17,534383.6215048174,604315.6612392324,1.050859269935867,1.178010637007365,1.138170129443939
2020-08-18,534383.6215048174,604315.6612392324,1.053129522503778,1.1823415303079972,1.14290143846698
2020-08-19,534383.6215048174,604315.6612392324,1.0487448492475608,1.170838883746211,1.137188492575217
2020-08-20,534383.6215048174,604315.6612392324,1.0520102261073283,1.1775938354393067,1.1434248089710457
2020-08-21,534383.6215048174,604315.6612392324,1.0557419678996602,1.1778471320087474,1.1485989880702654
2020-08-24,534383.6215048174,604315.6612392324,1.0664401964838526,1.1824577194051542,1.154835935969027
2020-08-25,534383.6215048174,604315.6612392324,1.0701717326932298,1.1838794296902677,1.153725114535824
2020-08-26,534383.6215048174,604315.6612392324,1.0809011070950478,1.1917124142530038,1.158899729151756
2020-08-27,534383.6215048174,604315.6612392324,1.083264694324358,1.1852637099645902,1.1525354143530984
2020-08-28,534383.6215048174,604315.6612392324,1.090261607393503,1.1939522689175048,1.1566588278784211
2020-08-31,534383.6215048174,604315.6612392324,1.0863121532522244,1.1945927848994933,1.1572175864962504
2020-09-01,534383.6215048174,604315.6612392324,1.0965436057379434,1.2066797145152388,1.1690514192821886
2020-09-02,534383.6215048174,604315.6612392324,1.112403919521263,1.2135031624468091,1.1836489124273308
2020-09-03,534383.6215048174,604315.6612392324,1.0741215980004177,1.1844004162171342,1.160553476179649
2020-09-04,534383.6215048174,604315.6612392324,1.0653516347391196,1.1739559841564173,1.1460533993811912
2020-09-08,534383.6215048174,604315.6612392324,1.036243041402454,1.1527285345950835,1.1300819392289694
