variant,policy,lookback,base_shares,selection_count,effective_max_position,starting_cash,ending_cash,ending_equity,pnl,turnover,total_fees,total_borrow_cost,total_cash_yield,peak_equity,max_drawdown_raw,halted_by_risk,submitted_orders,filled_orders,rejected_orders,symbols,rows,total_return,cagr,annual_vol,sharpe,max_drawdown,win_rate
benchmark_equal_weight,,,,,,,,,,,,,,,,,,,,,,1.0798458648586786,0.12389379684760793,0.14882762132775895,0.86147009069368,-0.25547924245542497,0.559010152284264
benchmark_spy,,,,,,,,,,,,,,,,,,,,,,1.2886055750191359,0.141171144682529,0.205050161776792,0.7486210289635725,-0.3371724347445537,0.5488578680203046
benchmark_60_40,,,,,,,,,,,,,,,,,,,,,,0.5601978950372697,0.07352395130125444,0.13327163323629648,0.6004551774456824,-0.27235286995499175,0.5437817258883249
nanoback_defensive_core,inverse_volatility,63.0,500.0,5.0,26832.0,1000000.0,604315.6612392324,604315.6612392324,-395684.3387607676,395486.5954630362,197.7432977315181,0.0,0.0,1000000.0,0.3956843387607676,False,5.0,5.0,0.0,5.0,1576.0,-0.3956843387607676,-0.07719048981909704,0.15817330800715962,-0.39999999999747116,-0.3956843387607676,0.0
nanoback_etf_core,equal_weight,21.0,500.0,5.0,26832.0,1000000.0,534383.6215048174,534383.6215048174,-465616.3784951826,465383.68665185664,232.69184332592835,0.0,0.0,1000000.0,0.4656163784951826,False,5.0,5.0,0.0,5.0,1576.0,-0.46561637849518256,-0.09511545683359746,0.1861283746522621,-0.39999999999785085,-0.46561637849518256,0.0
