,baseline,performance_v2,benchmark_spy,benchmark_60_40
2016-01-06,0.9938477712752828,1.0,1.0,1.0
2016-02-05,0.9826509841671938,1.0,0.9809497678365126,0.9890367765618227
2016-03-08,0.9844207953170893,1.0,0.9702396961568198,0.9869277753459434
2016-04-07,0.9796673546301189,1.0,0.9586299056264884,0.9847158072510851
2016-05-06,0.9780873764679627,1.0,0.9621376790910845,0.9851942899895697
2016-06-07,0.977723220303112,1.0,0.9636397769028426,0.9870707613143017
2016-07-07,0.9778604314124457,1.0,0.9630421676653085,0.986675812995062
2016-08-05,0.978169768979864,1.0,0.970918783518317,0.9874138828859601
2016-09-06,0.976903140141349,1.0,0.9738532078980693,0.9920822384260114
2016-10-05,0.9769355842856831,1.0,0.9781625039136488,0.9928672160134819
2016-11-03,0.9748432787218461,1.0,0.9736851464310164,0.9870922880798426
2016-12-05,0.9738730069649439,1.0,0.979535842364093,0.9902219453280058
2017-01-05,0.9743352743990424,1.0,0.9787579575266179,0.9959502144625496
2017-02-06,0.9737576372863395,1.0,0.9770082079396202,0.9972923838158848
2017-03-08,0.9755916618995298,1.0,0.9751944471201406,0.9940256583959679
2017-04-06,0.9755632856466785,1.0,0.9779358315026094,0.995112675555423
2017-05-08,0.9772773078492285,1.0,0.9777723772273422,0.992846834003332
2017-06-07,0.9797828910073679,1.0,0.9795813803799748,0.9920506403758723
2017-07-07,0.9849286360814462,1.0,0.9859342908981119,0.9935320598750234
2017-08-07,0.9864949800833154,1.0,0.987767581811071,0.9950857530398076
2017-09-06,0.9889352468386172,1.0,0.9911397731692817,0.9946817608440627
2017-10-05,0.9928440504213684,1.0,0.9970122521562798,0.9967149568104665
2017-11-03,0.9953342510945866,1.0,1.0003410167706601,0.9997933873542217
2017-12-05,0.995959761005623,1.0,0.9967431890702957,0.9996257422688477
2018-01-05,0.9987110221068053,1.0,1.0033851007631587,1.0024808545055501
2018-02-06,1.0071278874915135,1.0,1.0231539602071391,1.0118399782405207
2018-03-08,1.007777993571951,1.0,1.0281051388236966,1.0171102886644712
2018-04-09,1.008704720250351,1.0,1.033171911382187,1.0207896539240169
2018-05-08,1.0085869122390227,1.0,1.033171911382187,1.0204118137496865
2018-06-07,1.005798284504186,1.0,1.0330600583348222,1.0242990450736496
2018-07-09,1.0098763190672602,1.0,1.0423620721058766,1.0271961734967556
2018-08-07,1.0119484405259573,1.0,1.0458044144265566,1.0270960198197332
2018-09-06,1.008686516548751,1.0,1.0426566745420447,1.0267510104077686
2018-10-05,1.0065173954064577,1.0,1.0368206905044675,1.0197730361310349
2018-11-05,1.0067948734482755,1.0,1.0425403193257232,1.024751253851274
2018-12-06,1.0064463008466815,1.0,1.0409588373891694,1.0251056215871297
2019-01-08,1.010461470115323,1.0,1.0507391529097838,1.0298066681972475
2019-02-07,1.005609323332165,1.0,1.0407221013117534,1.026639343023143
2019-03-11,1.0104542567217734,1.0,1.0558144588240679,1.0343558445482381
2019-04-09,1.0084170060125146,1.0,1.050403684964187,1.0324806840377485
2019-05-09,1.0070179724493955,1.0,1.04722543788908,1.0322992656434535
2019-06-10,1.0101209852830348,1.0,1.0520310726489512,1.0312550783127408
2019-06-24,1.0101209852830348,0.9992127583232561,1.0507430552839685,1.0335736837200105
2019-07-10,1.009858433114117,0.9992127583232561,1.0557635684092277,1.034260206235234
2019-07-24,1.009858433114117,1.0004795752297884,1.0607251821610704,1.0389738211331125
2019-08-08,1.0119545681190694,1.0004795752297884,1.0815366287371064,1.0520948526969827
2019-08-22,1.0119545681190694,0.9991813539321887,1.0812037766939526,1.049105784434381
