variant,label,total_return,cagr,annual_vol,sharpe,calmar,max_drawdown,win_rate,cycles,avg_turnover
baseline,,0.0555,0.0053,0.0111,0.4787,0.2626,-0.0202,0.3333,204.0,0.07770466666666667
performance_v2,,0.0872,0.0082,0.0272,0.3137,0.1998,-0.0412,0.2304,204.0,0.3927722716049382
benchmark_spy,,0.4424,0.0366,0.0531,0.7007,0.3634,-0.1007,0.5931,204.0,
benchmark_60_40,,0.2682,0.0236,0.0295,0.8025,0.3087,-0.0764,0.6225,204.0,
